uniprot_id,target_key,hgnc,species
Q9GZT9,EGLN1,EGLN1,Homo sapiens
Q9H9B1,EHMT1,EHMT1,Homo sapiens
Q96KQ7,EHMT2,EHMT2,Homo sapiens
P19525,EIF2AK2,EIF2AK2,Homo sapiens
Q9NZJ5,EIF2AK3,EIF2AK3,Homo sapiens
Q9P2K8,EIF2AK4,EIF2AK4,Homo sapiens
P08246,ELANE,ELANE,Homo sapiens
Q09472,EP300,EP300,Homo sapiens
P21709,EPHA1,EPHA1,Homo sapiens
P29317,EPHA2,EPHA2,Homo sapiens
P29320,EPHA3,EPHA3,Homo sapiens
P54764,EPHA4,EPHA4,Homo sapiens
P54756,EPHA5,EPHA5,Homo sapiens
Q9UF33,EPHA6,EPHA6,Homo sapiens
Q15375,EPHA7,EPHA7,Homo sapiens
P29322,EPHA8,EPHA8,Homo sapiens
P54762,EPHB1,EPHB1,Homo sapiens
P29323,EPHB2,EPHB2,Homo sapiens
P54753,EPHB3,EPHB3,Homo sapiens
P54760,EPHB4,EPHB4,Homo sapiens
P34913,EPHX2,EPHX2,Homo sapiens
P04626,ERBB2,ERBB2,Homo sapiens
P21860,ERBB3,ERBB3,Homo sapiens
P00533,ERBB4/ERBB3/ERBB2/EGFR,EGFR,Homo sapiens
P04626,ERBB4/ERBB3/ERBB2/EGFR,ERBB2,Homo sapiens
P21860,ERBB4/ERBB3/ERBB2/EGFR,ERBB3,Homo sapiens
Q15303,ERBB4/ERBB3/ERBB2/EGFR,ERBB4,Homo sapiens
P03372,ESR1,ESR1,Homo sapiens
P03372,ESR1/ESR2,ESR1,Homo sapiens
Q92731,ESR1/ESR2,ESR2,Homo sapiens
Q92731,ESR2,ESR2,Homo sapiens
P11474,ESRRA,ESRRA,Homo sapiens
O95718,ESRRB,ESRRB,Homo sapiens
P62508,ESRRG,ESRRG,Homo sapiens
Q92800,EZH1,EZH1,Homo sapiens
Q15910,EZH2,EZH2,Homo sapiens
P00742,F10,F10,Homo sapiens
P03951,F11,F11,Homo sapiens
P00734,F2,F2,Homo sapiens
P25116,F2R,F2R,Homo sapiens
P13726,F3,F3,Homo sapiens
P12259,F5,F5,Homo sapiens
P08709,F7,F7,Homo sapiens
P00740,F9,F9,Homo sapiens
O00519,FAAH,FAAH,Homo sapiens
Q12884,FAP,FAP,Homo sapiens
P49327,FASN,FASN,Homo sapiens
P09467,FBP1,FBP1,Homo sapiens
P14324,FDPS,FDPS,Homo sapiens
P39748,FEN1,FEN1,Homo sapiens
P16591,FER,FER,Homo sapiens
P07332,FES,FES,Homo sapiens
O14842,FFAR1,FFAR1,Homo sapiens
Q5NUL3,FFAR4,FFAR4,Homo sapiens
P11362,FGFR1,FGFR1,Homo sapiens
P21802,FGFR2,FGFR2,Homo sapiens
P11362,FGFR2/FGFR3/FGFR4/FGFR1,FGFR1,Homo sapiens
P21802,FGFR2/FGFR3/FGFR4/FGFR1,FGFR2,Homo sapiens
P22607,FGFR2/FGFR3/FGFR4/FGFR1,FGFR3,Homo sapiens
P22455,FGFR2/FGFR3/FGFR4/FGFR1,FGFR4,Homo sapiens
P22607,FGFR3,FGFR3,Homo sapiens
P22455,FGFR4,FGFR4,Homo sapiens
P09769,FGR,FGR,Homo sapiens
P62942,FKBP1A,FKBP1A,Homo sapiens
P62942,FKBP1A/MTOR,FKBP1A,Homo sapiens
P42345,FKBP1A/MTOR,MTOR,Homo sapiens
P68106,FKBP1B,FKBP1B,Homo sapiens
Q13451,FKBP5,FKBP5,Homo sapiens
P17948,FLT1,FLT1,Homo sapiens
P36888,FLT3,FLT3,Homo sapiens
P35916,FLT4,FLT4,Homo sapiens
P17948,FLT4/FLT1/KDR,FLT1,Homo sapiens
P35916,FLT4/FLT1/KDR,FLT4,Homo sapiens
