inchikey	smiles	chembl_id	name
NSQSAUGJQHDYNO-UHFFFAOYSA-N	CCN(c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1	CHEMBL3414621	tazemetostat
XCFLWTZSJYBCPF-UHFFFAOYSA-N	CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F	CHEMBL2178134	GNE7915
FMTVWAGUJRUAKE-UHFFFAOYSA-N	CC(C)Oc1ccc(-c2c[nH]cc2CN(C)CCN)cc1	CHEMBL3901808	MS023
BATCTBJIJJEPHM-UHFFFAOYSA-N	O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1	CHEMBL1651534	PF-04457845
PFHDWRIVDDIFRP-UHFFFAOYSA-N	CCC(CC)n1ccc2c(C(=O)NCc3c(C)cc(C)[nH]c3=O)cc(C#N)cc21	CHEMBL3414574	EI1
HUEKBQXFNHWTQQ-UHFFFAOYSA-N	CNc1[nH]c(Nc2ccc(C(=O)N3CCOCC3)cc2OC)nc2ncc(Cl)c1-2	CHEMBL4540808	JH-II-127
BLVQHYHDYFTPDV-VCABWLAWSA-N	Nc1cc(F)ccc1NC(=O)/C=C/c1cnn(C/C=C/c2ccccc2)c1	CHEMBL4078477	RGFP966
XSMSNFMDVXXHGJ-UHFFFAOYSA-N	c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1	CHEMBL3265032	ENTOSPLETINIB
XQFINGFCBFHOPE-WXUXXXNLSA-N	CCN(c1cc(C#CCN2CCOCC2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)CCOC)CC1	CHEMBL3672841	EPZ011989
AKCRNFFTGXBONI-UHFFFAOYSA-N	CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1	CHEMBL1256459	torin 1
GUXXEUUYCAYESJ-UHFFFAOYSA-N	Nc1ccc(-c2ccc3ncc4ccc(=O)n(-c5cccc(C(F)(F)F)c5)c4c3c2)cn1	CHEMBL1765602	torin 2
VUIRVWPJNKZOSS-UHFFFAOYSA-N	Cc1cnc(-c2ccccc2C(C)C)nc1NCc1ccc(-n2ccnn2)cc1	CHEMBL3182437	ML323
AOZPVMOOEJAZGK-UHFFFAOYSA-N	CCN1CCN(Cc2ccc(C(=O)Nc3ccc(C)c(Oc4ccc5c(c4)CC(=O)N5)c3)cc2C(F)(F)F)CC1	CHEMBL3421914	DDR-IN-1
PRNXOFBDXNTIFG-FQEVSTJZSA-N	Cc1[nH]nc(C(F)(F)F)c1Cc1sc2c(c1C(=O)N1C[C@](C)(O)CO1)c(=O)n(C)c(=O)n2C(C)C	CHEMBL3335793	AZD3965
DJOVLOYCGXNVPI-UHFFFAOYSA-N	CN1CCN(c2ccc(-c3cccc(CN4CCOCC4)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1	CHEMBL3798846	OICR-9429
ATALOFNDEOCMKK-OITMNORJSA-N	C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	CHEMBL1471	APREPITANT
KDGFLJKFZUIJMX-UHFFFAOYSA-N	CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O	CHEMBL1738797	ALECTINIB
OXQNLLVUVDAEHC-OAQYLSRUSA-N	COc1ccc(-c2csc(NC(=O)[C@H]3CCCCN3S(=O)(=O)c3ccc(C)cc3)n2)cc1	CHEMBL2070953	ML277
MJSHVHLADKXCML-RQNOJGIXSA-N	CCCCNc1ncc2c(-c3ccc(CN4CCN(C)CC4)cc3)cn([C@H]3CC[C@H](O)CC3)c2n1	CHEMBL3326006	UNC2025
FHCSBLWRGCOVPT-UHFFFAOYSA-N	CN1CCN(S(=O)(=O)c2ccc(-c3cnc(N)c(C(=O)Nc4cccnc4)n3)cc2)CC1	CHEMBL2177161	AZ2858
PNYRDVBFYVDJJI-UHFFFAOYSA-N	Cc1cn(CCN2CCN(c3ccccc3-c3cc(C#N)cc(C(=O)NCCCN4CCCC4)c3)CC2)c2ccccc12	CHEMBL3414623	LLY-507
QULDDKSCVCJTPV-UHFFFAOYSA-N	COc1c(C)cnc(Cn2cnc3c(Cl)nc(N)nc32)c1C	CHEMBL467399	BIIB021
NDAZATDQFDPQBD-UHFFFAOYSA-N	CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(CN2CCOCC2)cc1	CHEMBL252164	luminespib
HKVAMNSJSFKALM-GKUWKFKPSA-N	CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C	CHEMBL1908360	EVEROLIMUS
NMJMRSQTDLRCRQ-UHFFFAOYSA-N	COc1cc(N2CCC(O)CC2)ccc1Nc1cc(Nc2ccccc2S(=O)(=O)C(C)C)c2cc[nH]c2n1	CHEMBL1235786	MPS1-IN-1
YUNQZQREIHWDQT-UHFFFAOYSA-N	COc1cc2c(cc1NS(=O)(=O)c1ccc(Br)cc1C)n(C)c(=O)n2C	CHEMBL3770173	OF-1
PRWSIEBRGXYXAJ-UHFFFAOYSA-N	Cc1cccc(CC(=O)N2CCc3c2ccc(-c2cn(C)c4ncnc(N)c24)c3F)n1	CHEMBL2441340	GSK2656157
IVDUVEGCMXCMSO-FQEVSTJZSA-N	Cc1ncc(Cl)cc1NCc1ccc(C(=O)N[C@@H](CC2CCCC2)C(=O)NC2CC2)s1	CHEMBL3613749	GSK2830371
ADZBMFGQQWPHMJ-RHSMWYFYSA-N	CNC(=O)c1cc(Oc2ccc3nc(N[C@@H]4CCCC[C@H]4O)sc3c2)ccn1	CHEMBL4227505	BLZ-945
OBJNFLYHUXWUPF-IZZDOVSWSA-N	CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)cc1	CHEMBL3603847	THZ1
JIFCFQDXHMUPGP-UHFFFAOYSA-N	Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1	CHEMBL1230541	CGI1746
BZCALJIHZVNMGJ-HSZRJFAPSA-N	Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1	CHEMBL1829174	FASIGLIFAM
UREBDLICKHMUKA-DVTGEIKXSA-N	C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	CHEMBL632	betamethasone
QBGKPEROWUKSBK-QPPIDDCLSA-N	CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1	CHEMBL2386346	RO-5045337
WCPTUQOMNJBIET-CALCHBBNSA-N	Cc1cc(N2C[C@H](C)N[C@H](C)C2)ncc1-c1ccc(-c2nc3c(ccn3C)c(=O)[nH]2)cc1	CHEMBL4101890	AZ6102
INAICWLVUAKEPB-QSTFCLMHSA-N	O=C(/C=C/N1C[C@H]2C[C@@H]1CN2c1ccccn1)c1ccccc1O	CHEMBL3752911	PFI-3
GEPYBHCJBORHCE-SFHVURJKSA-N	COc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2C[C@H](C)N2CCOCC2)cc1Cl	CHEMBL3622373	SGC-CBP30
XLOGLWKOHPIJLV-UHFFFAOYSA-N	CC(C)(C)S(=O)(=O)c1ccc2nccc(Nc3n[nH]c4ccc(F)cc34)c2c1	CHEMBL3823499	GSK583
MIJYXULNPSFWEK-GTOFXWBISA-N	CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1	CHEMBL168	oleanolic acid
DMIDPTCQPIJYFE-UHFFFAOYSA-N	O=C(NCC(=O)N1CCCC1)Nc1ccc2cnccc2c1	CHEMBL4072005	SGC707
KINMYBBFQRSVLL-UHFFFAOYSA-N	O=c1ccc2c(OCCCCOc3ccccc3)c3ccoc3cc2o1	CHEMBL444449	PAP-1
UYBRROMMFMPJAN-UHFFFAOYSA-N	CCOC(=O)Nc1cc(-c2ccc(C)c(NS(C)(=O)=O)c2)nn2c(C)nnc12	CHEMBL3133807	bromosporine
QTQMRBZOBKYXCG-MHZLTWQESA-N	CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1	CHEMBL434063	GW1929
IQCKJUKAQJINMK-HUBRGWSESA-N	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O	CHEMBL3087498	SGC0946
KHWCPNJRJCNVRI-UHFFFAOYSA-N	CCCOc1ccn2c(C(C)=O)cc(-c3ccccc3S(C)(=O)=O)c2c1	CHEMBL3739699	GSK2801
LLVZBTWPGQVVLW-SNAWJCMRSA-N	COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1	CHEMBL483321	CP-724714
KXBDTLQSDKGAEB-UHFFFAOYSA-N	C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)c1	CHEMBL3301625	SPEBRUTINIB
PQOOIERVZAXHBP-UHFFFAOYSA-N	O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Nc2ccccc2)c1)N1CCC(N2CCCC2)CC1	CHEMBL2426364	UNC1215
DPJNKUOXBZSZAI-UHFFFAOYSA-N	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C(C)C)CC3)nc2)cc2c1cnn2C(C)C	CHEMBL3414619	UNC1999
TWKYXZSXXXKKJU-FQEVSTJZSA-N	O=C(NC[C@H](O)CN1CCc2ccccc2C1)c1ccnc(NC2CCC2)c1	CHEMBL4542380	GSK591
DFQGDHBGRSTTHX-UHFFFAOYSA-N	CCOc1ccc(-c2ccc(Cn3c(CC(C)(C)C(=O)O)c(SC(C)(C)C)c4cc(OCc5ccc(C)cn5)ccc43)cc2)cn1	CHEMBL1922660	FIBOFLAPON
YDBLKRPLXZNVNB-UHFFFAOYSA-N	Cc1cc(SCc2sc(-c3ccc(C(F)(F)F)cc3)nc2C)ccc1OCC(=O)O	CHEMBL38943	Cardarine
GBJVVSCPOBPEIT-UHFFFAOYSA-N	CCN(CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1)CCOP(=O)(O)O	CHEMBL415049	barasertib
JUSFANSTBFGBAF-IRXDYDNUSA-N	CNC(=O)c1cccc(-c2ccc3c(N4CCOC[C@@H]4C)nc(N4CCOC[C@@H]4C)nc3n2)c1	CHEMBL2336325	vistusertib
AHJRHEGDXFFMBM-UHFFFAOYSA-N	CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCNCC4)cn3)nc2n(C2CCCC2)c1=O	CHEMBL189963	PALBOCICLIB
DVBPRWJMHURKHP-UHFFFAOYSA-N	C=CC(=O)Nc1ccc(CN2C(=O)N(c3cc(OC)cc(OC)c3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc32)cc1	CHEMBL4065323	FIIN-2
SQSZANZGUXWJEA-UHFFFAOYSA-N	Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1	CHEMBL2107823	GANDOTINIB
PTPNCCWOTBBVJR-UHFFFAOYSA-N	CCOC(=O)c1ccc(-n2cc(Cc3cnc(OCC)nc3)c(=O)nc2SCc2ccc(F)cc2)cc1	CHEMBL4303679	GW1100
