target_key	name	type
LHCGR		
SLC2A1		
CHRM1		
BPTF@BRD		
PRMT8		
PRMT1		
PRMT3		
BCL2L1		
BCL2		
CFTR		
ATAD2		
ATAD2B		
NSD3@PWWP1		
PRMT6		
P2RY14		
DHODH		
SLC13A5		
MLLT1		
MLLT3		
EDNRA		
FNTB		
DRD4		
F2R		
MET		
FASN		
SLC9A1		
CNR1		
PTGDR2		
MAPK1		
MAPK3		
ADRA1D		
MIF		
NUDT1		
METAP2		
TRPM8		
TBK1		
IKBKE		
FAAH		
TRPA1		
P2RX4		
ITGAL		
RPS6KA1		
PRKAA1		
CYP11B2		
NR3C1		
MGAT2		
BCL6		
GPR52		
ENPP2		
HCV:NS3		
SOS1		
CLK3		
EP300@Acetyltransferase		
CREBBP@Acetyltransferase		
MYST3@Acetyltransferase		
MYST4@Acetyltransferase		
GNRHR		
EDNRB		
PTGER2		
CCR1		
MRGPRX2		
GPR68		
KISS1R		
GRM8		
ADRB2		
DRD1		
TACR1		
OPRK1		
CCKAR		
LTB4R		
OPRD1		
CCKBR		
NTSR1		
NTSR2		
ADRA1B		
ADRA1A		
ADRA2A		
PTGFR		
PTGER3		
PTGER1		
CYSLTR1		
AVPR2		
AGTR2		
AGTR1		
ADORA2A		
ADRB1		
GHSR		
HTR7		
OPRL1		
OPRM1		
HTR2C		
HTR2A		
CXCR2		
HCRTR1		
HTR2B		
S1PR1		
GRM5		
GRM1		
GRM2		
PTGDR		
TBXA2R		
ADORA2B		
LPAR2		
F2RL1		
CCR2		
HRH3		
GPR35		
DRD3		
DRD2		
HTR1A		
FFAR4		
FFAR2		
S1PR5		
SMO		
TSHR		
EPHX2@Protease		
NR1I3		
THRA		
THRB		
NR1A1		
NR1A2		
NR3A1		
NR3A2		
NR3C2		
NR3C3		
NR3C4		
RARB		
RARA		
RARG		
NR1B1		
NR1B2		
NR1B3		
NR1I1		
VDR		
IKBKB		
EGFR		
ERBB2		
ERBB4		
CSF1R		
TTK		
CSNK2A1		
IGF1R		
INSR		
INSRR		
TNK2		
LRRK2		
MAP3K5		
MST1R		
JAK1@kinase 1		
JAK2@kinase 1		
NUAK1		
NUAK2		
PIK3C3		
RIPK3		
CHEK1		
IRAK4		
BLK		
TXK		
ITK		
PRKDC		
PIK3C2B		
CHEK2		
PLK2		
PLK3		
AURKC		
RPS6KA3@kinase 1		
CDK4		
CDK6		
ALK		
ROS1		
FGFR1		
FGFR2		
FGFR3		
TIE1		
TEK		
SYK		
RPS6KA1@kinase 1		
RIPK1		
CASK		
MMP12		
MMP13		
CENPE		
ELANE		
PSEN1@Protease		
ALOX5AP		
PDE10A		
NDUFS2		
ABL1		
ABL2		
CAMK1		
PNCK		
CAMK1D		
CAMK1G		
NPY1R		
HIPK1		
HIPK2		
CDK1		
CDK5		
PADI4		
BRPF1		
BRPF3		
BRD1		
FGFR4		
MELK		
SIK1		
SIK2		
SIK3		
BCAT1		
BCAT2		
CMA1@Protease		
GLS		
NSD2 (PWWP1 domain)		
GID4		
NR1D1		
NR1D2		
NR1F1		
NR1F2		
RORB		
RORA		
CSNK2A2		
ACVR1		
ACVRL1		
TTBK1		
RET		
KDR		
CSNK1D		
CSNK1E		
CSNK1A1		
EIF2AK3		
ERBB3		
CDK19		
STK10		
TNNI3K		
FER		
DAPK1		
DAPK3		
SMG1		
MTOR		
STK17B		
DCLK1		
DCLK2		
FLT3		
STK17A		
JAK2		
TYK2		
JAK1		
PIM1		
PIM2		
PIM3		
BUB1		
FKBP5		
FFAR1		
GRIN2A		
OGA		
PIP4K2A		
SLC16A3		
UCHL1@Protease		
HCV:NS5B		
HIV:NNRT		
CDK12		
CDK7		
PIK3C2G		
OLR1		
SCNN1A		
SCNN1B		
SCNN1G		
HIV Integrase		
HCV NS5B		
CTSS		
HCV NS3-NS4A		
CTSC		
CMA1		
PDE2A		
DPAP1		
HCV NNRT		
HIV CA		
PHGDH		
CETP		
CCR10		
MAP3K14		
ERN1		
KIT		
PIP4K2C		
MYLK4		
NEK2		
RIPK2		
MAP4K4		
TNIK		
MINK1		
NR3B1		
NR3B2		
NR3B3		
MAP3K12		
IRAK1		
MAP2K5		
LATS1		
LATS2		
BMPR1A		
BMPR1B		
MKNK1		
MKNK2		
PRKD1		
PRKD2		
PRKD3		
PKN2		
DAPK2		
TTBK2		
MAP3K7		
PDE9A		
HSD17B13		
CDK15		
CDK17		
CDK18		
MGLL		
SMOX		
CDKL5		
UGCG		
ATR		
ATM		
RIOK2		
EIF2AK4		
MAP3K13		
BIKE		
PKMYT1		
EPHA1		
EPHB2		
EPHB3		
WEE1		
CDC7		
FES		
ULK1		
ULK2		
CAMK2A		
CIT		
MCL1		
NR2E3		
NR4A1		
NR4A2		
NR4A3		
NR2E1		
