inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_id
UUECJWRVDTUDCB-ISLYRVAYSA-N	unsuitables/ischemin	2017-03-07	Yes	Yes	1453644	0	0	0		1050
MDOJTZQKHMAPBK-UHFFFAOYSA-N	unsuitables/iniparib	2017-03-02	No	Yes	24483	0	0	0		1051
LLEJIEBFSOEYIV-UHFFFAOYSA-N	unsuitables/chelerythrine	2017-03-02	No	No	1688064	0	0	0		1052
PBJKWGWHZVXBGU-UHFFFAOYSA-N	unsuitables/apogossypol	2017-03-02	Yes	Yes	572876	0	0	0		1053
SXJDCULZDFWMJC-UHFFFAOYSA-N	unsuitables/ha14-1	2017-03-02	No	No	1596359	0	0	0		1054
HYTMVPCGCCQGST-JGUILPGDSA-N	unsuitables/bxi-61	2017-03-02	Yes	Yes	234445	0	0	0		1055
PQAPVTKIEGUPRN-UHFFFAOYSA-N	unsuitables/tw37	2017-03-02	Yes	Yes	839902	0	0	0		1056
WUGANDSUVKXMEC-UHFFFAOYSA-N	unsuitables/umi-77	2017-03-02	Yes	No	1829299	0	0	0		1057
YPSXFMHXRZAGTG-UHFFFAOYSA-N	unsuitables/bcl-2-inhibitor	2017-03-02	No	Yes	3312891	0	0	0		1058
ILMNSCQOSGKTNZ-NKWVEPMBSA-N	unsuitables/adenosine-dialdehyde	2017-03-07	No	Yes	1146558	0	0	0		1059
NAWIFPQLACUTSO-MXGDDHKLSA-N	unsuitables/mdl-28842	2017-03-07	No	Yes	1144457	0	0	0		1060
MUJOCHRZXRZONW-FOCLMDBBSA-N	unsuitables/methylstat	2017-03-07	No	Yes	719521	0	0	0		1061
AELCINSCMGFISI-DTWKUNHWSA-N	unsuitables/tranylcypromine	2017-03-07	No	No	45808	0	0	0		1062
ZJZCTCNQTXBBFZ-PLMZOXRSSA-N	unsuitables/mb-3	2017-03-07	No	Yes	3312903	0	0	0		1063
YGSDEFSMJLZEOE-UHFFFAOYSA-M	unsuitables/salicylate	2017-03-07	No	No	2880280	0	0	0		1064
JAXSELKSZJMFSA-UHFFFAOYSA-N	unsuitables/apha	2017-03-07	No	No	3312911	0	0	0		1065
PAWIYAYFNXQGAP-UHFFFAOYSA-N	unsuitables/quisinostat	2017-03-07	No	Yes	256735	0	0	0		1066
FPOHNWQLNRZRFC-ZHACJKMWSA-N	unsuitables/panobinostat	2017-03-07	Yes	Yes	1710013	0	0	0		1067
KGDMFBRXTHKRPA-GRCJMCHGSA-N	unsuitables/pandacostat	2017-03-07	Yes	Yes	1718170	0	0	0		1068
PTJGLFIIZFVFJV-UHFFFAOYSA-N	unsuitables/pyroxamide	2017-03-07	No	Yes	1123828	0	0	0		1069
MUTBJZVSRNUIHA-UHFFFAOYSA-N	unsuitables/r306465	2017-03-07	No	Yes	169499	0	0	0		1070
IDQPVOFTURLJPT-UHFFFAOYSA-N	unsuitables/sbha	2017-03-07	No	Yes	30287	0	0	0		1071
GYKLFBYWXZYSOW-UHFFFAOYSA-N	unsuitables/pivanex	2017-03-07	No	Yes	28056	0	0	0		1072
MIGJEXKBUJPKJF-UHFFFAOYSA-N	unsuitables/ms7972	2017-04-04	No	No	1119325	0	0	0		1073
RFTSSZJZXOSICM-GRSHGNNSSA-N	unsuitables/obatoclax	2017-03-02	No	No	1500972	0	0	0		1074
QBKSWRVVCFFDOT-UHFFFAOYSA-N	unsuitables/gossypol	2017-03-02	Yes	Yes	754444	0	0	0		1075
KLDXJTOLSGUMSJ-JGWLITMVSA-N	unsuitables/101	2017-03-02	No	No	56967	0	0	0		1076
UIFFUZWRFRDZJC-SBOOETFBSA-N	unsuitables/antimycin	2017-03-02	No	Yes	793808	0	0	0		1077
PRDFBSVERLRRMY-UHFFFAOYSA-N	unsuitables/bxi-72	2017-03-02	No	No	565476	0	0	0		1078
RGGFUBMUOVFZEF-LDRVEFRDSA-N	unsuitables/mim1	2017-03-02	Yes	Yes	1556735	0	0	0		1079
COHIEJLWRGREHV-XFFZJAGNSA-N	unsuitables/bh3i-1	2017-03-02	Yes	Yes	1320297	0	0	0		1080
