id	inchikey	target_id	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_id	source_xref
3137	CLCTZVRHDOAUGJ-SYVGMNBRSA-N	134	degrader (protac)	DC50		1	nM	cell	Degradation observed via western blot with Dmax >95% within 4 h				836	bavdegalutamide
3138	CLCTZVRHDOAUGJ-SYVGMNBRSA-N	134	degrader (protac)	IC50		10	nM	cell	Inhibition of PSA synthesis				836	bavdegalutamide
3139	CLCTZVRHDOAUGJ-SYVGMNBRSA-N	134	degrader (protac)	IC50		20	nM	cell	Cell proliferation assay in the presence of 0.1 nmol/L R1881				836	bavdegalutamide
3140	JNTJTCXFIXNXDV-VIFPVBQESA-N	410	molecular glue			82	nM	biochemical	Biochemical assay				837	bay2666605
3141	JNTJTCXFIXNXDV-VIFPVBQESA-N	410	molecular glue	EC50		1.04	nM	cell	Cell viability assay				837	bay2666605
3142	JNTJTCXFIXNXDV-VIFPVBQESA-N	410	molecular glue	IC50	>=	5	nM	cell	CellTiterGlo viability assay in glioblastoma cells lines showed strong correlation between PDE3A expression and response to BAY 2666605; GB1 PDE3A KO cells were insensitive to the compound | 5-550nM				837	bay2666605
3143	DTWUUAFTYSMNQX-GFCCVEGCSA-N	129	inhibitor			0.7	nM	biochemical	Biochemical assay using WT ROS1				838	zidesamtinib
3144	DTWUUAFTYSMNQX-GFCCVEGCSA-N	129	inhibitor			7.9	nM	biochemical	Biochemical assay using ROS1 G2032R				838	zidesamtinib
3145	DTWUUAFTYSMNQX-GFCCVEGCSA-N	129	inhibitor	IC50		1.3	nM	cell	Cell proliferation assay				838	zidesamtinib
3146	DTWUUAFTYSMNQX-GFCCVEGCSA-N	129	inhibitor	IC50		3.6	nM	cell	Cell Proliferation Assay using cell lines baring ROS1 G2032R mutation				838	zidesamtinib
3147	FZJKQMONKPFLEO-NZIMVQFPSA-N	348	degrader (protac)	DC50		0.2	nM	cell	Degradation of MDM2 followed by Western Blot over 2h				839	md-4251
