id	inchikey	target_id	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_id	source_xref
1	IQCKJUKAQJINMK-HUBRGWSESA-N	496	inhibitor			0.06	nM	binding	SPR; IC50 = 0.3 nM in enzymatic assay				1	sgc0946
2	IQCKJUKAQJINMK-HUBRGWSESA-N	496	inhibitor	IC50		8.8	nM	cell	in-cell western assay assessing methylation of protein substrate in MCF10A cells				1	sgc0946
3	QMDKVNSQXPVCRD-RQNOJGIXSA-N	515	inhibitor			0.01	uM	biochemical	Inhibition of 3H-SAM-dependent labeling of peptide substrate and quantification of 3H-labeled peptide.				2	epz020411
4	QMDKVNSQXPVCRD-RQNOJGIXSA-N	515	inhibitor	IC50		0.0637	uM	cell	H3R2 methylation in PRMT6-overexpressing A375 cells.				2	epz020411
5	WRUWGLUCNBMGPS-UHFFFAOYSA-N	562	antagonist			7.3		binding	TR-FRET, and BROMOscan profiling with N-methyl Kac mimetic: BRD9 pKD = 8.7.				3	i-brd9
6	WRUWGLUCNBMGPS-UHFFFAOYSA-N	562	antagonist					cell	In HUT-78 cells, chemoproteomic competitive binding assays showed I-BRD9 was >625-fold selective for BRD9 over BRD3				3	i-brd9
7	ZHMXXVNQAFCXKK-QGZVFWFLSA-N	315	inhibitor			1	nM	biochemical					4	bix-02565
8	ZHMXXVNQAFCXKK-QGZVFWFLSA-N	315	inhibitor	IC50		20	nM	cell	Inhibition of substrate phosphorylation				4	bix-02565
9	TXGKRVFSSHPBAJ-JKSUJKDBSA-N	272	inhibitor			2.1	nM	biochemical	Radiometric assay; in a FRET-based assay, IC50 = 6 nM				5	prt062607
10	TXGKRVFSSHPBAJ-JKSUJKDBSA-N	272	inhibitor	IC50	>=	0.16	uM	cell	Inhibition of protein substrate phosphorylation in B cells | 0.16-0.4 uM				5	prt062607
11	SCELLOWTHJGVIC-BGYRXZFFSA-N	390	inhibitor			6.3	nM	biochemical					6	ku-60019
12	SCELLOWTHJGVIC-BGYRXZFFSA-N	390	inhibitor					cell	Dose-dependent inhibition of protein substrate phosphorylation in U87 glioma cells				6	ku-60019
13	XCFLWTZSJYBCPF-UHFFFAOYSA-N	445	competitive inhibitor			1	nM	biochemical					7	gne7915
14	XCFLWTZSJYBCPF-UHFFFAOYSA-N	445	competitive inhibitor	IC50		9	nM	cell	Inhibition of autophosphorylation				7	gne7915
15	ZYVXTMKTGDARKR-UHFFFAOYSA-N	632	inhibitor			17	nM	biochemical	in vitro radioactivity-based substrate phosphorylation assay				8	az191
16	ZYVXTMKTGDARKR-UHFFFAOYSA-N	632	inhibitor					cell	In cells, AZ191 dose-dependently inhibited DYRK1B > DYRK1A substrate phosphorylation.				8	az191
17	XSMSNFMDVXXHGJ-UHFFFAOYSA-N	272	inhibitor			7.7	nM	biochemical	SYK enzymatic assay (Lance-based assay)				9	entospletinib
18	XSMSNFMDVXXHGJ-UHFFFAOYSA-N	272	inhibitor	EC50		26	nM	cell	MSD assay detecting the substrate pBLNK				9	entospletinib
19	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor			2.2	nM	biochemical	Chemiluminescence activity based assay (ATP hydrolysis) | 2.2 nM JAK2				10	xl019
20	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor			214	nM	biochemical	Chemiluminescence activity based assay (ATP hydrolysis) | 214 nM JAK3				10	xl019
21	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor			134	nM	biochemical	Chemiluminescence activity based assay (ATP hydrolysis) | 134 nM JAK1				10	xl019
22	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor	IC50		386.4	nM	cell	Immunoblotting detection of pSTAT1 and pSTAT3 | 386.4 nM pSTAT1				10	xl019
23	ISOCDPQFIXDIMS-HSZRJFAPSA-N	52	inhibitor	IC50		695	nM	cell	Immunoblotting detection of pSTAT1 and pSTAT3 | 695 nM pSTAT3				10	xl019
24	GZFYZYBWLCYBMI-MYZJJQSMSA-N	27	inhibitor	Ki		30	nM	cell	Cholesterol esterification and proteolytic cleavage of SREBP-2				11	u18666a
25	HHKGVQGXRGQBBA-UHFFFAOYSA-N	353	inhibitor			30	nM	biochemical	Homogenous time-resolved fluorescence assays detecting enzyme activity using peptide substrates.				12	2-mt-63
26	HHKGVQGXRGQBBA-UHFFFAOYSA-N	353	inhibitor	IC50		62	nM	cell	In EA.hy926 cells, the compound inhibited Ang-1-induces TIE2 autophosphorylation in a plate-based immunassay.				12	2-mt-63
27	LTUGYAOMCKNTGG-UHFFFAOYSA-N	329	antagonist			0.08	uM	biochemical	Time-resolved fluorescence resonance energy transfer (TR-FRET) binding assay, pIC50=7.1.				13	gsk-5959
28	LTUGYAOMCKNTGG-UHFFFAOYSA-N	329	antagonist	IC50		0.98	uM	cell	NanoBRET assay; pIC50=6.0				13	gsk-5959
29	UOVSZRTTWLJPHE-HNXAPSNLSA-N	348	antagonist			7	nM	biochemical	HTRF assay				14	ro5353
30	UOVSZRTTWLJPHE-HNXAPSNLSA-N	348	antagonist	IC50		0.007	uM	cell	Antiproliferative activity (MTT assay) averaged across multiple p53 wild-type cells (SJSA-1, HCT-116, RKO). RO5353 is 1023-fold selective for p53 wild type compared with p53 mutant cells.				14	ro5353
31	CGCOPBXAGSCZNX-FNQJWKMRSA-N	348	antagonist			6	nM	biochemical	HTRF assay.				15	ro2468
32	CGCOPBXAGSCZNX-FNQJWKMRSA-N	348	antagonist	IC50		0.015	uM	cell	Average anti-proliferative activity across multiple p53-positive cell lines (SJSA-1, HCT-116, RKO). RO2468 was 742-fold more potent against p53 wild-type than p53-mutant cell types.				15	ro2468
33	ARYVAQSYRLZVQD-UHFFFAOYSA-N	131	inhibitor			0.009	uM	binding	SPR binding assay				16	nms-p118
34	ARYVAQSYRLZVQD-UHFFFAOYSA-N	131	inhibitor	IC50		0.04	uM	cell	In HeLa cells, hydrogen peroxide-induced PAR production was quantified.				16	nms-p118
35	LTYNXERAWVCPAH-OHRKNAERSA-N	335	inhibitor					biochemical	In synthetic proteoliposomes containing only SEC61 and SR, 10 uM cotransin inhibited VCAM1 translocation but not pre-prolactin. In in vitro transcription/translation assays in reticulocyte lysate with rough endoplasmic reticulum (ER) and microsomes (TNT assays), 10 uM cotransin VCAM1 glycosylation but not translation, and had comparable activity on fusion proteins containing the N-terminal signal sequence from VCAM1. 25 uM cotransin also disrupted cross-linking between ER proteins and Sec61alpha.				17	cotransin
36	SAGZIBJAQGBRQA-UHFFFAOYSA-N	242	inhibitor			18	nM	binding	ALK5 Fluorescence Polarization Binding Assay with intracellular kinase domain from ALK5.				18	gw788388
37	SAGZIBJAQGBRQA-UHFFFAOYSA-N	242	inhibitor	IC50		93	nM	cell	TGF-beta-dependent signaling assay. In 293T cells expressing constitutively active (ca) ALK5, TbetaRII, BMPRII, or ACTRII, 10 uM GW788388 inhibited autophosphorylation of ALK5 and TbetaRII. In U2OS cells expressing caALK1, caALK2, caALK3, caALK4, caALK5, caALK6, or caALK7, GW788388 dose-dependently inhibited only TGF-beta-dependent signaling (ALK4, ALK5, and ALK7; assessed indirectly through Smad-responsive luciferase activity).				18	gw788388
38	ATUUNJCZCOMUKD-OKILXGFUSA-N	445	inhibitor			1.8	nM	biochemical	MSD and Invitrogen assay				19	mli-2
39	ATUUNJCZCOMUKD-OKILXGFUSA-N	445	inhibitor	IC50		3.5	nM	cell	LRRK2 G2019S SH-SY5Y human neuroblastoma cell line was used for the LRRK2 pSer935 phosphorylation measurements.				19	mli-2
40	XKBSPAZCFAIBJL-OAHLLOKOSA-N	516	agonist	EC50		760	nM	cell	PRESTO-Tango arrestin recruitment, FLIPR calcium assay | 760nM				20	r-zinc-3573
41	XKBSPAZCFAIBJL-OAHLLOKOSA-N	516	agonist	EC50		1000	nM	cell	PRESTO-Tango arrestin recruitment, FLIPR calcium assay | 1000nM				20	r-zinc-3573
42	KMESAVNRPDKZCQ-UHFFFAOYSA-N	229	inhibitor			7	nM	biochemical	biochemical h-sEH binding assay				21	bi-1935
43	KMESAVNRPDKZCQ-UHFFFAOYSA-N	229	inhibitor	IC50	<	1	nM	cell	cellular Hep G2-DHET assay				21	bi-1935
44	ZDOBSAPHUUUOHX-OSYLJGHBSA-N	401	inhibitor			2.2	nM	biochemical	LPA measurement | 2.2 nM (human)				22	bi-2545
45	ZDOBSAPHUUUOHX-OSYLJGHBSA-N	401	inhibitor			3.4	nM	biochemical	LPA measurement | 3.4 nM (rat)				22	bi-2545
46	ZDOBSAPHUUUOHX-OSYLJGHBSA-N	401	inhibitor	IC50		29	nM	cell	Whole blood assay | 29 nM (human)				22	bi-2545
47	ZDOBSAPHUUUOHX-OSYLJGHBSA-N	401	inhibitor	IC50		96	nM	cell	Whole blood assay | 96 nM (rat)				22	bi-2545
48	BTSUNSRQYLVGIS-ADTYUTHVSA-N	2	covalent inhibitor			2.6	nM	biochemical	FP assay				23	m-808
49	BTSUNSRQYLVGIS-ADTYUTHVSA-N	2	covalent inhibitor	IC50		1	nM	cell	Cell Growth inhibition | 1 nM in MV4;11				23	m-808
50	BTSUNSRQYLVGIS-ADTYUTHVSA-N	2	covalent inhibitor	IC50		4	nM	cell	Cell Growth inhibition | 4 nM in MOLM-13				23	m-808
51	PROGRNRRJJYCNX-UHFFFAOYSA-N	425	inhibitor			0.35	uM	binding	FP assay, AlphaLISA assay, SPR				24	cmld-2
52	PROGRNRRJJYCNX-UHFFFAOYSA-N	425	inhibitor					cell	RNP IP, luciferase-based reporter assays, and cytotoxicity assays.				24	cmld-2
53	JQNINBDKGLWYMU-GEAQBIRJSA-N	368	antagonist			60	pM	biochemical	Time-resolved fluorescence resonance energy transfer binding assays				25	amg-176-0
54	JQNINBDKGLWYMU-GEAQBIRJSA-N	368	antagonist					cell	"Split Luciferase Complementation Assay, immunoblot
(these experiments were performed with close analogue AM-8621"				25	amg-176-0
55	VSZRYLHBOKTNBO-UHFFFAOYSA-N	377	inhibitor			7.8	nM	biochemical	Enzymatic Assay | 7.8 nM (human)				26	tp-020
56	VSZRYLHBOKTNBO-UHFFFAOYSA-N	377	inhibitor			2.4	nM	biochemical	Enzymatic Assay | 2.4 nM  (Mouse)				26	tp-020
57	VSZRYLHBOKTNBO-UHFFFAOYSA-N	377	inhibitor	IC50		160	nM	cell	Cell Based Assay				26	tp-020
58	CGECJCJUHCZZGO-UHFFFAOYSA-N	317	inhibitor			1	nM	biochemical	HTRF® KinEASE™-STK (Cisbio Assays)				27	mbm-55
59	CGECJCJUHCZZGO-UHFFFAOYSA-N	317	inhibitor	IC50		530	nM	cell	cell cycle analysis by flow cytometry | 530 nM (MGC-803)				27	mbm-55
60	CGECJCJUHCZZGO-UHFFFAOYSA-N	317	inhibitor	IC50		840	nM	cell	cell cycle analysis by flow cytometry | 840 nM (HCT-116)				27	mbm-55
61	CGECJCJUHCZZGO-UHFFFAOYSA-N	317	inhibitor	IC50		7130	nM	cell	cell cycle analysis by flow cytometry | 7130 nM (Bel-7402)				27	mbm-55
62	OTKTZEZTFCAULO-DEOSSOPVSA-N	69	inhibitor			3.3	nM	biochemical	Radiometric lipid extraction assay (enzymatic assay) | 3.3 (human)				28	gsk2973980a
63	OTKTZEZTFCAULO-DEOSSOPVSA-N	69	inhibitor			13	nM	biochemical	Radiometric lipid extraction assay (enzymatic assay) | 13 (rat) nM				28	gsk2973980a
64	OTKTZEZTFCAULO-DEOSSOPVSA-N	69	inhibitor	IC50		75	nM	cell	Inhibition of TG synthesis.				28	gsk2973980a
65	XMNLWOQHMQRHDV-UHFFFAOYSA-N	91	inhibitor			7	nM	biochemical	ALDH Enzymatic Assays				29	nct-505
66	XMNLWOQHMQRHDV-UHFFFAOYSA-N	91	inhibitor	IC50		30	nM	cell	Aldefluor Cell-Based Assays. | 30 nM MIA PaCa-2				29	nct-505
67	XMNLWOQHMQRHDV-UHFFFAOYSA-N	91	inhibitor	IC50		33	nM	cell	Aldefluor Cell-Based Assays. | 33 nM OV-90				29	nct-505
68	XMNLWOQHMQRHDV-UHFFFAOYSA-N	91	inhibitor	IC50		123	nM	cell	Aldefluor Cell-Based Assays. | 123 nM HT-19				29	nct-505
69	BATCTBJIJJEPHM-UHFFFAOYSA-N	9	covalent inhibitor			7.2	nM	biochemical	glutamate dehydrogenase-coupled FAAH assay | 7.2 nM (human)				30	pf-04457845
70	BATCTBJIJJEPHM-UHFFFAOYSA-N	9	covalent inhibitor			7.4	nM	biochemical	glutamate dehydrogenase-coupled FAAH assay | 7.4 nM (Rat)				30	pf-04457845
71	BATCTBJIJJEPHM-UHFFFAOYSA-N	9	covalent inhibitor	IC50		3.2	nM	cell	Measurement of FAAH Activity using 3H-labelled substrate				30	pf-04457845
72	QCQQONWEDCOTBV-UHFFFAOYSA-N	367	inhibitor			0.01	nM	biochemical	BCL-XL TR-FRET				31	1331852
73	QCQQONWEDCOTBV-UHFFFAOYSA-N	367	inhibitor	EC50		6.3	nM	cell	BCellTiter-Glo cell viability assay; induction of apoptosis in BCL-XL–dependent Molt-4 cells, does not affect MEF cells lacking BAK or BAX CL-XL–BIM and BCL-2–BIM complexes in Molt-4 cells				31	1331852
74	BSISGUIVBKDTQO-QIKYYPRYSA-N	455	inhibitor		>=	22	nM	binding	TR-FRET (T), Alphascreen (A), BROMOscan (B), MST (M) | 22-166 nM (T)				32	bay-850
75	BSISGUIVBKDTQO-QIKYYPRYSA-N	455	inhibitor			157	nM	binding	TR-FRET (T), Alphascreen (A), BROMOscan (B), MST (M) | 157 nM (A)				32	bay-850
76	BSISGUIVBKDTQO-QIKYYPRYSA-N	455	inhibitor			115	nM	binding	TR-FRET (T), Alphascreen (A), BROMOscan (B), MST (M) | 115 nM (B)				32	bay-850
77	BSISGUIVBKDTQO-QIKYYPRYSA-N	455	inhibitor			85	nM	binding	TR-FRET (T), Alphascreen (A), BROMOscan (B), MST (M) | 85 nM (M)				32	bay-850
78	BSISGUIVBKDTQO-QIKYYPRYSA-N	455	inhibitor	pGI50	>=	5.8	-log(M)	cell	Growth Inhibition Assay | 5.8-5.9				32	bay-850
79	XUYMIRYNRKXKOR-HMHJJOSWSA-N	307	inhibitor			3.7	nM	binding	radio-ligand RORγ binding scintillation proximity assay				33	vimirogant
80	XUYMIRYNRKXKOR-HMHJJOSWSA-N	307	inhibitor	IC50		17	nM	cell					33	vimirogant
81	WUJVPELCYCESAP-UHFFFAOYSA-N	444	agonist	pEC50		7.6	-log(M)	cell	Fluorometric calcium assay using FLIPR methodology				34	gpr120-in-1
82	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	329	antagonist			40	nM	binding	ITC				35	ni-42
83	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	329	antagonist			7.9	nM	binding	Bromoscan assay				35	ni-42
84	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	329	antagonist			140	nM	biochemical	Alphascreen activity assays				35	ni-42
85	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	329	antagonist					cell	An indexed cell panel of 211 cancer cell lines (CLIMB panel) was treated with NI-42 for 72 h and observed modest and selective inhibition of proliferation of certain AML cell lines (OCI-AML2, Nomo-1, THP-1, KG-1, MV-4-11) with GI50s 1-10 uM.				35	ni-42
86	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	82	antagonist			210	nM	binding	ITC				35	ni-42
87	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	82	antagonist			48	nM	binding	Bromoscan assay				35	ni-42
88	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	82	antagonist			760	nM	biochemical	Alphascreen activity assays				35	ni-42
89	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	82	antagonist					cell	An indexed cell panel of 211 cancer cell lines (CLIMB panel) was treated with NI-42 for 72 h and observed modest and selective inhibition of proliferation of certain AML cell lines (OCI-AML2, Nomo-1, THP-1, KG-1, MV-4-11) with GI50s 1-10 uM.				35	ni-42
90	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	614	antagonist			940	nM	binding	ITC				35	ni-42
91	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	614	antagonist			260	nM	binding	Bromoscan assay				35	ni-42
92	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	614	antagonist			2000	nM	biochemical	Alphascreen activity assays				35	ni-42
93	ZLTQCDRXWXUYHJ-UHFFFAOYSA-N	614	antagonist					cell	An indexed cell panel of 211 cancer cell lines (CLIMB panel) was treated with NI-42 for 72 h and observed modest and selective inhibition of proliferation of certain AML cell lines (OCI-AML2, Nomo-1, THP-1, KG-1, MV-4-11) with GI50s 1-10 uM.				35	ni-42
94	NBTNHSGBRGTFJS-UHFFFAOYSA-N	108	inhibitor			0.6	nM	biochemical	Kinase enzymatic activity				36	wh-4-023
95	NBTNHSGBRGTFJS-UHFFFAOYSA-N	108	inhibitor	IC50		61	nM	cell	Inhibition of IL-2 secretion				36	wh-4-023
96	NBTNHSGBRGTFJS-UHFFFAOYSA-N	145	inhibitor			1	nM	biochemical	Kinase enzymatic activity				36	wh-4-023
97	NBTNHSGBRGTFJS-UHFFFAOYSA-N	145	inhibitor	IC50		61	nM	cell	Inhibition of IL-2 secretion				36	wh-4-023
98	SOXNKJCQBRQUMS-UHFFFAOYSA-N	211	inhibitor		<	1	nM	biochemical	Fluorogenic detection of the CoASH (NMT inhibition assay)				37	imp-1088
99	SOXNKJCQBRQUMS-UHFFFAOYSA-N	211	inhibitor			0.21	nM	binding	SPR				37	imp-1088
100	SOXNKJCQBRQUMS-UHFFFAOYSA-N	211	inhibitor	IC50		17	nM	cell	Inhibition of virus-induced CPE				37	imp-1088
101	SOXNKJCQBRQUMS-UHFFFAOYSA-N	211	inhibitor	IC50		5.8	nM	cell	Inhibition of single-cycle replication in HeLa cells infected with RV-A16				37	imp-1088
102	KYWWJENKIMRJBI-UHFFFAOYSA-N	327	partial agonist			179	nM	biochemical	Radio Labelled binding assay				38	lxr-623
103	KYWWJENKIMRJBI-UHFFFAOYSA-N	327	partial agonist			6.66	uM	cell	Huh-7 human hepatoma cell based Gal4 LXRα or LXRβ transactivation assay, Cell functional assay for gene expression.				38	lxr-623
104	KYWWJENKIMRJBI-UHFFFAOYSA-N	384	partial agonist			24	nM	biochemical	Radio Labelled binding assay				38	lxr-623
105	KYWWJENKIMRJBI-UHFFFAOYSA-N	384	partial agonist			3.67	uM	cell	Huh-7 human hepatoma cell based Gal4 LXRα or LXRβ transactivation assay, Cell functional assay for gene expression. | GAL4 LXRβ 3.67 uM (73)				38	lxr-623
106	KYWWJENKIMRJBI-UHFFFAOYSA-N	384	partial agonist			6.66	uM	cell	Huh-7 human hepatoma cell based Gal4 LXRα or LXRβ transactivation assay, Cell functional assay for gene expression. | GAL4 LXRα 6.66 uM (53)				38	lxr-623
107	KYWWJENKIMRJBI-UHFFFAOYSA-N	384	partial agonist			0.53	uM	cell	Huh-7 human hepatoma cell based Gal4 LXRα or LXRβ transactivation assay, Cell functional assay for gene expression. | ABAC1 0.53 uM (100)				38	lxr-623
108	KYWWJENKIMRJBI-UHFFFAOYSA-N	384	partial agonist			1.27	uM	cell	Huh-7 human hepatoma cell based Gal4 LXRα or LXRβ transactivation assay, Cell functional assay for gene expression. | C-Efflux 1.27 uM (140)				38	lxr-623
109	KYWWJENKIMRJBI-UHFFFAOYSA-N	384	partial agonist			2.11	uM	cell	Huh-7 human hepatoma cell based Gal4 LXRα or LXRβ transactivation assay, Cell functional assay for gene expression. | SREBP1 2.11 uM (58)				38	lxr-623
110	KYWWJENKIMRJBI-UHFFFAOYSA-N	384	partial agonist			1.91	uM	cell	Huh-7 human hepatoma cell based Gal4 LXRα or LXRβ transactivation assay, Cell functional assay for gene expression. | Lipid acc. 1.91 uM (35)				38	lxr-623
111	MPASHPJAIUOWCK-UHFFFAOYSA-N	234	inhibitor			0.9	nM	biochemical	KINOMEscan				39	bay-826
112	MPASHPJAIUOWCK-UHFFFAOYSA-N	234	inhibitor	IC50		2.7	nM	cell	Functional cellular assays: NanoBRET assay				39	bay-826
113	MPASHPJAIUOWCK-UHFFFAOYSA-N	353	inhibitor			1.6	nM	biochemical	KINOMEscan				39	bay-826
114	MPASHPJAIUOWCK-UHFFFAOYSA-N	353	inhibitor			0.45	nM	biochemical	In house kinase assay				39	bay-826
115	MPASHPJAIUOWCK-UHFFFAOYSA-N	353	inhibitor	IC50		0.7	nM	cell	Functional cellular assays: NanoBRET assay				39	bay-826
116	MPASHPJAIUOWCK-UHFFFAOYSA-N	373	inhibitor			0.4	nM	biochemical	KINOMEscan				39	bay-826
117	MPASHPJAIUOWCK-UHFFFAOYSA-N	373	inhibitor	IC50		3	nM	cell	Functional cellular assays: NanoBRET assay				39	bay-826
118	MPASHPJAIUOWCK-UHFFFAOYSA-N	436	inhibitor			1.3		biochemical	KINOMEscan				39	bay-826
119	MPASHPJAIUOWCK-UHFFFAOYSA-N	436	inhibitor	IC50		4.5	nM	cell	Functional cellular assays: NanoBRET assay				39	bay-826
120	JVCWPUFNLFSKFS-UHFFFAOYSA-N	113	inhibitor			0.5	nM	biochemical	Competition binding assay (KinomeScan)				40	ac710
121	JVCWPUFNLFSKFS-UHFFFAOYSA-N	113	inhibitor	IC50		10.5	nM	cell	Phosphorylation MSD assay				40	ac710
122	JVCWPUFNLFSKFS-UHFFFAOYSA-N	240	inhibitor			0.6	nM	biochemical	Competition binding assay (KinomeScan)				40	ac710
123	JVCWPUFNLFSKFS-UHFFFAOYSA-N	240	inhibitor	IC50		2	nM	cell	Phosphorylation MSD assay				40	ac710
124	JVCWPUFNLFSKFS-UHFFFAOYSA-N	137	inhibitor			1	nM	biochemical	Competition binding assay (KinomeScan)				40	ac710
125	JVCWPUFNLFSKFS-UHFFFAOYSA-N	137	inhibitor	IC50		1.2	nM	cell	Phosphorylation MSD assay				40	ac710
126	JVCWPUFNLFSKFS-UHFFFAOYSA-N	130	inhibitor			1	nM	biochemical	Competition binding assay (KinomeScan)				40	ac710
127	JVCWPUFNLFSKFS-UHFFFAOYSA-N	130	inhibitor	IC50		7.7	nM	cell	Phosphorylation MSD assay				40	ac710
128	JVCWPUFNLFSKFS-UHFFFAOYSA-N	153	inhibitor			1.3	nM	biochemical	Competition binding assay (KinomeScan)				40	ac710
129	FYMVGXGSNIVSKY-NRFANRHFSA-N	132	covalent inhibitor			38	nM	binding	Fluorescence polarization (FP) assay using Ub-Lys-TAMRA				41	imp-1710
130	FYMVGXGSNIVSKY-NRFANRHFSA-N	132	covalent inhibitor	IC50		110	nM	cell	Homogeneous time-resolved fluorescence (HTRF) assay in Cal51 cells				41	imp-1710
131	KLGQSVMIPOVQAX-UHFFFAOYSA-N	80	inhibitor			99	nM	biochemical	CY5-labeled XAV939 binding assay				42	xav939
132	KLGQSVMIPOVQAX-UHFFFAOYSA-N	80	inhibitor					cell	In HEK293 cells, XAV939 inhibited SuperTopFlash-luciferase reporter expression (Wnt/B-catenin-dependent expression).				42	xav939
133	KLGQSVMIPOVQAX-UHFFFAOYSA-N	556	inhibitor			93	nM	biochemical	CY5-labeled XAV939 binding assay				42	xav939
134	KLGQSVMIPOVQAX-UHFFFAOYSA-N	556	inhibitor					cell	In HEK293 cells, XAV939 inhibited SuperTopFlash-luciferase reporter expression (Wnt/B-catenin-dependent expression).				42	xav939
135	KLGQSVMIPOVQAX-UHFFFAOYSA-N	131	inhibitor					cell	In HEK293 cells, XAV939 inhibited SuperTopFlash-luciferase reporter expression (Wnt/B-catenin-dependent expression).				42	xav939
136	KLGQSVMIPOVQAX-UHFFFAOYSA-N	600	inhibitor					cell	In HEK293 cells, XAV939 inhibited SuperTopFlash-luciferase reporter expression (Wnt/B-catenin-dependent expression).				42	xav939
137	ZJZWZIXSGNFWQQ-UHFFFAOYSA-N	80	inhibitor			1900	nM	biochemical	Biochemical PARylation assays				43	jw55
138	ZJZWZIXSGNFWQQ-UHFFFAOYSA-N	80	inhibitor	IC50		470	nM	cell	In Wnt-3a-induced HEK293 cells, JW55 inhibited SuperTop-luciferase reporter expression.				43	jw55
139	ZJZWZIXSGNFWQQ-UHFFFAOYSA-N	556	inhibitor			830	nM	biochemical	Biochemical PARylation assays				43	jw55
140	ZJZWZIXSGNFWQQ-UHFFFAOYSA-N	556	inhibitor	IC50		470	nM	cell	In Wnt-3a-induced HEK293 cells, JW55 inhibited SuperTop-luciferase reporter expression.				43	jw55
141	KHWCPNJRJCNVRI-UHFFFAOYSA-N	603	antagonist			257	nM	biochemical	Isothermal Titration Calorimetry and Biolayer interferometry				44	gsk2801
142	KHWCPNJRJCNVRI-UHFFFAOYSA-N	603	antagonist			400	nM	biochemical	Biochemical FRET assay				44	gsk2801
143	KHWCPNJRJCNVRI-UHFFFAOYSA-N	603	antagonist					cell	In a cellular FRAP assay (U2OS cells), 1 uM GSK2801 displaced GFP-BAZ2A from acetylated chromatin.				44	gsk2801
144	KHWCPNJRJCNVRI-UHFFFAOYSA-N	602	antagonist			136	nM	biochemical	Isothermal Titration Calorimetry and Biolayer interferometry				44	gsk2801
145	KHWCPNJRJCNVRI-UHFFFAOYSA-N	602	antagonist			430	nM	biochemical	Biochemical FRET assay				44	gsk2801
146	KHWCPNJRJCNVRI-UHFFFAOYSA-N	602	antagonist					cell	In a cellular FRAP assay (U2OS cells), 1 uM GSK2801 displaced GFP-BAZ2A from acetylated chromatin.				44	gsk2801
147	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N	92	inhibitor			5.8	nM	biochemical	Kinase Profiler				45	bafetinib
148	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N	92	inhibitor	IC50		11	nM	cell	In K562 and 293T cells, bafetinib dose-dependently inhbited BCR-ABL autophosphorylation and phosphorylation of its substrates. IC50 was 11 nM in K562 cells and 22 nM in 293T cells.				45	bafetinib
149	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N	119	inhibitor			19	nM	biochemical	Kinase Profiler				45	bafetinib
150	ZGBAJMQHJDFTQJ-DEOSSOPVSA-N	119	inhibitor	IC50		22	nM	cell	IC50 was 11 nM in K562 cells and 22 nM in 293T cells.				45	bafetinib
151	LVDRREOUMKACNJ-BKMJKUGQSA-N	562	antagonist			99	nM	biochemical	Isothermal Calorimetry				46	lp99
152	LVDRREOUMKACNJ-BKMJKUGQSA-N	562	antagonist	IC50		3300	nM	cell	In HEK293 cells, LP99 disrupted BRD7-NanoLuc--H3.3-HaloTag and BRD9-NanoLuc--H4-HaloTag interaction. LP99 also disrupted BRD9-chromatin interaction as detected by fluorescence recovery after photobleaching assays.				46	lp99
153	LVDRREOUMKACNJ-BKMJKUGQSA-N	570	antagonist			909	nM	biochemical					46	lp99
154	LVDRREOUMKACNJ-BKMJKUGQSA-N	570	antagonist	IC50		3700	nM	cell	In HEK293 cells, LP99 disrupted BRD7-NanoLuc--H3.3-HaloTag and BRD9-NanoLuc--H4-HaloTag interaction. LP99 also disrupted BRD9-chromatin interaction as detected by fluorescence recovery after photobleaching assays.				46	lp99
155	CXJCGSPAPOTTSF-VURMDHGXSA-N	294	inhibitor			19.7	nM	biochemical	Phosphorylation reactions were monitored using a coupled-enzyme assay in which ADP production is coupled to NADH oxidation by pyruvate kinase (PK) and lactate dehydrogenase (LDH)				47	kh-cb19
156	CXJCGSPAPOTTSF-VURMDHGXSA-N	294	inhibitor					cell	KH-CB19 dose-dependently inhibited CLK1 protein substrate phosphorylation (SRp75, SRp55, and SRp20) in HMEC-1 cells. Dose response of KH-CB19 was tested using SRp75 and SRp55, and phosphorylation levels of these two proteins in TNF-α−stimulated cells were significantly reduced at increasing concentration of the inhibitor.				47	kh-cb19
157	CXJCGSPAPOTTSF-VURMDHGXSA-N	566	inhibitor			530	nM	biochemical	enzymatic activity assay				47	kh-cb19
