inchikey	smiles	name
RYYNGWLOYLRZLK-UHFFFAOYSA-N	CC(=O)NCC(=O)N1C2CCC1c1cc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)ccc12	PF-03814735
FUMCKNCUEAQHCV-XYPYZODXSA-N	O[C@H]1CC[C@H](Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1	CHEMBL2062936
ZGZVRPRSFXRGCF-UHFFFAOYSA-N	COc1ccc(C(=O)Nc2n[nH]c3ccc(-c4cn(Cc5ccccc5)nn4)cc23)cc1OC	Kinome_1054
ZPEIMTDSQAKGNT-UHFFFAOYSA-N	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	Chlorpromazine
CGIGDMFJXJATDK-UHFFFAOYSA-N	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	Indometacin
GCBJDOWIQHMCMR-UHFFFAOYSA-N	O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3[nH]ncc3c2)n1	Kinome_1199
KRIUNPBAQZGFQA-UHFFFAOYSA-N	Oc1c2ccccc2c2c3c(cccc13)N=N2	ZINC04335977
HJGFPNFAFSFDNN-UHFFFAOYSA-N	C#Cc1cccc(Nc2nc3cc(C(=O)O)ccc3c3cncnc23)c1	CX5011
BPNUQXPIQBZCMR-IBGZPJMESA-N	Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccccc4)c3)cc12	A-674563
RFAXLXKIAKIUDT-UHFFFAOYSA-N	Oc1ccc2ccccc2c1SSc1c(O)ccc2ccccc12	IPA-3
KRMDCWKBEZIMAB-UHFFFAOYSA-N	CN(C)CCC=C1c2ccccc2CCc2ccccc21	Amitriptyline
DDLZLOKCJHBUHD-WAVHTBQISA-N	O=C1Nc2cc(Br)ccc2/C1=C1/Nc2ccccc2/C1=N\O	6-Bromoindirubin-3'-oxime
UUADYKVKJIMIPA-UHFFFAOYSA-N	Cl.Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21	Enzastaurin hydrochloride
