id	inchikey	organism	dose_value	dose_unit	route	dose_raw	source_id
414	RIGHCDSORZCRDE-UHFFFAOYSA-N	Mouse	10	mg/kg		2 mg/Kg IV, 10 mg/Kg	277
415	RAXZSEGXMBWYQK-SNVBAGLBSA-N	Rat	1	mg/kg	PO	1 mg/Kg PO, 0.5 mg/Kg IV	1275
416	RAXZSEGXMBWYQK-SNVBAGLBSA-N	Rat	0.5	mg/kg	IV	1 mg/Kg PO, 0.5 mg/Kg IV	1275
417	RAXZSEGXMBWYQK-SNVBAGLBSA-N	Dog	0.5	mg/kg	PO	0.5 mg/Kg PO, 0.25 mg/Kg IV	1275
418	RAXZSEGXMBWYQK-SNVBAGLBSA-N	Dog	0.25	mg/kg	IV	0.5 mg/Kg PO, 0.25 mg/Kg IV	1275
419	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	Mouse	1	mg/kg	IV	1 mg/Kg (IV), 10 mg/Kg (PO)	1276
420	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	Mouse	10	mg/kg	PO	1 mg/Kg (IV), 10 mg/Kg (PO)	1276
421	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/Kg (IV), 10 mg/Kg (PO)	1276
422	MVCOAUNKQVWQHZ-UHFFFAOYSA-N	Rat	10	mg/kg	PO	1 mg/Kg (IV), 10 mg/Kg (PO)	1276
423	RHFIAUKMKYHHFA-UHFFFAOYSA-N	Other	0.4	mg/kg	IV	0.4-1 mg/kg (IV), 5 mg/Kg (PO)	279
424	RHFIAUKMKYHHFA-UHFFFAOYSA-N	Other	5	mg/kg	PO	0.4-1 mg/kg (IV), 5 mg/Kg (PO)	279
425	LUVOYGUFQRWXGQ-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1277
426	LUVOYGUFQRWXGQ-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1277
427	MCLDWKVRXDHDEI-UHFFFAOYSA-N	Mouse	2.29	mg/kg		2.29 mg/kg	1278
428	VSMTYSWGHKYXOF-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/kg	1279
429	VSMTYSWGHKYXOF-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/Kg	1279
430	DRSZMILOMUPIBJ-UHFFFAOYSA-N	Mouse	100	mg/kg		10, 30. 100 mg/Kg	1280
431	ZLHFILGSQDJULK-UHFFFAOYSA-N	Mouse	30	mg/kg		5, 10, 30 mg/Kg	285
432	CWLAIOPWFOOJHQ-QHCPKHFHSA-N	Mouse	3	mg/kg		3 mg/Kg	1281
433	NCDZABJPWMBMIQ-INIZCTEOSA-N	Mouse					1282
434	NCDZABJPWMBMIQ-INIZCTEOSA-N	Rat					1282
435	NCDZABJPWMBMIQ-INIZCTEOSA-N	Dog					1282
436	XDJGNPSZQSWJCV-UHFFFAOYSA-N	Rat	0.5	mg/kg		0.5 mg/kg	1283
437	XDJGNPSZQSWJCV-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1283
438	XDJGNPSZQSWJCV-UHFFFAOYSA-N	Dog	0.1	mg/kg		0.1 mg/Kg	1283
439	UZWDCWONPYILKI-UHFFFAOYSA-N	Mouse	12.5	mg/kg		>12.5 mg/Kg	1284
440	QJZQFVRFJCGDKF-UHFFFAOYSA-N	Mouse	5	mg/kg	IV	5 mg/Kg IV, 20 mg/Kg PO	1285
441	QJZQFVRFJCGDKF-UHFFFAOYSA-N	Mouse	20	mg/kg	PO	5 mg/Kg IV, 20 mg/Kg PO	1285
442	QJZQFVRFJCGDKF-UHFFFAOYSA-N	Rat	5	mg/kg	IV	5 mg/Kg IV, 20 mg/Kg	1285
443	QJZQFVRFJCGDKF-UHFFFAOYSA-N	Rat	20	mg/kg		5 mg/Kg IV, 20 mg/Kg	1285
444	QJZQFVRFJCGDKF-UHFFFAOYSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	1285
445	QJZQFVRFJCGDKF-UHFFFAOYSA-N	Dog	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	1285
446	QJZQFVRFJCGDKF-UHFFFAOYSA-N	Monkey (Cynomolgus)	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	1285
447	QJZQFVRFJCGDKF-UHFFFAOYSA-N	Monkey (Cynomolgus)	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	1285
448	YOVVNQKCSKSHKT-HNNXBMFYSA-N	Mouse	1	mg/kg		1 mg/Kg	1286
449	YOVVNQKCSKSHKT-HNNXBMFYSA-N	Mouse	5	mg/kg		5 mg/Kg	1286
450	YOVVNQKCSKSHKT-HNNXBMFYSA-N	Mouse	50	mg/kg		50 mg/Kg	1286
451	GBLBJPZSROAGMF-RWYJCYHVSA-N	Mouse	10	mg/kg		10 mg/Kg	1287
452	KVLFRAWTRWDEDF-IRXDYDNUSA-N	Mouse	10	mg/kg		2.5 and 10 mg/Kg	1288
453	HFLMLZKGLUEWBU-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1289
454	UKBQFBRPXKGJPY-INIZCTEOSA-N	Rat	1	mg/kg		1 mg/Kg	1290
455	UKBQFBRPXKGJPY-INIZCTEOSA-N	Rat	5	mg/kg		5 mg/Kg	1290
456	UKBQFBRPXKGJPY-INIZCTEOSA-N	Monkey (Cynomolgus)	1	mg/kg		1 mg/Kg	1290
457	UKBQFBRPXKGJPY-INIZCTEOSA-N	Monkey (Cynomolgus)	5	mg/kg		5 mg/Kg	1290
458	OAZAPIKYVGRNCO-UHFFFAOYSA-N	Mouse	0.5	mg/kg		0.5 mg/Kg	1291
459	OAZAPIKYVGRNCO-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1291
460	RSMYFSPOTCDHHJ-GOSISDBHSA-N	Rat				unknown	1292
461	RSMYFSPOTCDHHJ-GOSISDBHSA-N	Dog				unknown	1292
462	GOOYSJIWTIHOGW-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1293
463	GOOYSJIWTIHOGW-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1293
464	JKDGKIBAOAFRPJ-ZBINZKHDSA-N	Rat	1	mg/kg		1 mg/Kg	1294
465	JKDGKIBAOAFRPJ-ZBINZKHDSA-N	Rat	5	mg/kg		5 mg/Kg	1294
466	JKDGKIBAOAFRPJ-ZBINZKHDSA-N	Dog	1	mg/kg		1 mg/Kg	1294
467	JKDGKIBAOAFRPJ-ZBINZKHDSA-N	Dog	5	mg/kg		5 mg/Kg	1294
468	JKDGKIBAOAFRPJ-ZBINZKHDSA-N	Dog	1	mg/kg		1 mg/Kg	1294
469	JKDGKIBAOAFRPJ-ZBINZKHDSA-N	Dog	5	mg/kg		5 mg/Kg	1294
470	SJHNWSAWWOAWJH-MRXNPFEDSA-N	Mouse	3	mg/kg		3 mg/Kg	1295
471	SJHNWSAWWOAWJH-MRXNPFEDSA-N	Mouse	10	mg/kg		10 mg/Kg	1295
472	SJHNWSAWWOAWJH-MRXNPFEDSA-N	Rat	3	mg/kg		3 mg/Kg	1295
473	SJHNWSAWWOAWJH-MRXNPFEDSA-N	Rat	10	mg/kg		10 mg/Kg	1295
474	SJHNWSAWWOAWJH-MRXNPFEDSA-N	Dog	1	mg/kg		1 mg/Kg	1295
475	SJHNWSAWWOAWJH-MRXNPFEDSA-N	Dog	10	mg/kg		10 mg/Kg	1295
476	DJVYXMINSBMUHH-QAQDUYKDSA-N	Rat	2	mg/kg		2 mg/kg	1296
477	DJVYXMINSBMUHH-QAQDUYKDSA-N	Rat	5	mg/kg		5 mg/kg	1296
478	DJVYXMINSBMUHH-QAQDUYKDSA-N	Dog	1	mg/kg		1 mg/kg	1296
479	CDQQWCLOMUMQMM-UHFFFAOYSA-N	Mouse	0.5	mg/kg		0.5 mg/Kg	1297
480	CDQQWCLOMUMQMM-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1297
481	RQFYFNAGNBUGFC-UHFFFAOYSA-N	Rat	50	mg/kg		50 mg/Kg	1298
482	COGUZYALRYMQTD-LJQANCHMSA-N	Mouse	1	mg/kg		1 mg/Kg	1299
483	COGUZYALRYMQTD-LJQANCHMSA-N	Mouse	5	mg/kg		5 mgKg	1299
484	COGUZYALRYMQTD-LJQANCHMSA-N	Mouse	10	mg/kg		10 mg/Kg	1299
485	WQVPGYMGERDXLH-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/kg	1300
486	IWMCPJZTADUIFX-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1301
487	IWMCPJZTADUIFX-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1301
488	FWJRVGZWNDOOFH-OAHLLOKOSA-N	Rat	1	mg/kg		1 mg/Kg	1302
489	WDBUEMWHXKHQNB-NNAUULPKSA-N	Mouse	1	mg/kg		1 mg/Kg	1303
490	WDBUEMWHXKHQNB-NNAUULPKSA-N	Mouse	3	mg/kg		3 mg/Kg	1303
491	WDBUEMWHXKHQNB-NNAUULPKSA-N	Mouse	10	mg/kg		10 mg/Kg	1303
492	DMUSMYYDKCXFKR-MRJIRHQNSA-N	Mouse	3	mg/kg		3 mg/Kg	1304
493	DMUSMYYDKCXFKR-MRJIRHQNSA-N	Mouse	10	mg/kg		10 mg/Kg	1304
494	VNSQFPFWUAZOTQ-UHFFFAOYSA-N	Mouse	1	mg/kg		1.0 mg/Kg	1305
495	VNSQFPFWUAZOTQ-UHFFFAOYSA-N	Mouse	1	mg/kg		1 mg/Kg	1305
496	XUOJHVFYSAMHNK-GWMXKSKGSA-N	Mouse	10	mg/kg	IV	0.3/10 mpk IV/PO	1306
497	XUOJHVFYSAMHNK-GWMXKSKGSA-N	Rat	3	mg/kg	IV	1/3 mpk IV/PO	1306
498	XUOJHVFYSAMHNK-GWMXKSKGSA-N	Dog	1	mg/kg	IV	0.3/1 mpk IV/PO	1306
499	XUOJHVFYSAMHNK-GWMXKSKGSA-N	Monkey (Cynomolgus)	1	mg/kg	IV	0.3/1 mpk IV/PO	1306
500	IVOACCSOISMVBL-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1307
501	IVOACCSOISMVBL-UHFFFAOYSA-N	Dog	10	mg/kg		10 mg/Kg	1307
502	IVOACCSOISMVBL-UHFFFAOYSA-N	Monkey (Cynomolgus)	10	mg/kg		10 mg/Kg	1307
503	HEUVRFNVTLGKMZ-SANMLTNESA-N	Other	5	mg/kg		5 mg/kg (Rat), 2.5 mg/kg (Dog), up to 25 mg/kg (PO)	319
504	HEUVRFNVTLGKMZ-SANMLTNESA-N	Other	2.5	mg/kg		5 mg/kg (Rat), 2.5 mg/kg (Dog), up to 25 mg/kg (PO)	319
505	HEUVRFNVTLGKMZ-SANMLTNESA-N	Other	25	mg/kg	PO	5 mg/kg (Rat), 2.5 mg/kg (Dog), up to 25 mg/kg (PO)	319
506	DNVXATUJJDPFDM-KRWDZBQOSA-N	Mouse	50	mg/kg		50 mg/kg	320
507	RCINICONZNJXQF-MZXODVADSA-N	Other	2	mg/kg		2-36 mg/kg	322
508	DUCNNEYLFOQFSW-PMERELPUSA-N	Other	150	mg/kg		150 mg/kg	324
509	UYKVJQCPBDDIFD-ZSEKCTLFSA-N	Rat	2	mg/kg		2 mg/Kg	1308
510	UYKVJQCPBDDIFD-ZSEKCTLFSA-N	Rat	1	mg/kg		1 mg/Kg	1308
511	UYKVJQCPBDDIFD-ZSEKCTLFSA-N	Mouse	1	mg/kg		1 mg/Kg	1308
512	UYKVJQCPBDDIFD-ZSEKCTLFSA-N	Dog	1	mg/kg		1 mg/Kg	1308
513	UYKVJQCPBDDIFD-ZSEKCTLFSA-N	Mouse	4	mg/kg		4 mg/Kg	1308
514	UYKVJQCPBDDIFD-ZSEKCTLFSA-N	Rat	30	mg/kg		30 mg/Kg	1308
515	UYKVJQCPBDDIFD-ZSEKCTLFSA-N	Dog	2	mg/kg		2 mg/Kg	1308
516	UYKVJQCPBDDIFD-ZSEKCTLFSA-N	Dog	20	mg/kg		20 mg/Kg	1308
517	RWRSKMSFZCQDMQ-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1309
518	RWRSKMSFZCQDMQ-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1309
519	RIWTUJFFSTVYPW-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1310
520	QARLNMDDSQMINK-BVRKHOPBSA-N	Mouse	200	mg/kg		2, 20, 200 mg/Kg	1311
521	HKASDKLLEVWKJA-YADARESESA-N	Mouse	10	uM/kg		10 uM/Kg	1312
522	HKASDKLLEVWKJA-YADARESESA-N	Mouse	1	uM/kg		1 uM/Kg	1312
523	MDUYWDNWFXSMJJ-XWLWVQCSSA-N	Rat	1	mg/kg		1 mg/Kg	1313
524	MDUYWDNWFXSMJJ-XWLWVQCSSA-N	Rat	5	mg/kg		5 mg/Kg	1313
525	MDUYWDNWFXSMJJ-XWLWVQCSSA-N	Dog	1	mg/kg		1 mg/Kg	1313
526	MDUYWDNWFXSMJJ-XWLWVQCSSA-N	Dog	5	mg/kg		5 mg/Kg	1313
527	XRDVXQQZLHVEQZ-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1314
528	XRDVXQQZLHVEQZ-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1314
529	MZBOZBMARIQZGX-GRRGFIRHSA-N	Other	25	mg/kg		25 mg/kg (rat)	335
530	UNRTVIQQMJRQLZ-UHFFFAOYSA-N	Mouse	250	mg/kg		250 mg/Kg	1315
531	BWBUPDTUXQDHSX-AWEZNQCLSA-N	Mouse	2	mg/kg		2 mg/Kg	1316
532	BWBUPDTUXQDHSX-AWEZNQCLSA-N	Mouse	10	mg/kg		10 mg/Kg	1316
533	BWBUPDTUXQDHSX-AWEZNQCLSA-N	Mouse	20	mg/kg		20 mg/Kg	1316
534	BWBUPDTUXQDHSX-AWEZNQCLSA-N	Mouse	40	mg/kg		40 mg/Kg	1316
535	BWBUPDTUXQDHSX-AWEZNQCLSA-N	Rat	2	mg/kg		2 mg/Kg	1316
536	BWBUPDTUXQDHSX-AWEZNQCLSA-N	Rat	10	mg/kg		10 mg/Kg	1316
537	ZRHWCAFAIHTQKD-QGZVFWFLSA-N	Mouse	50	mg/kg		50 mg/Kg	1317
538	CQAPXPSWLDAVEG-UHFFFAOYSA-N	Mouse	0.5	mg/kg		0.5 mg/Kg	1318
539	CQAPXPSWLDAVEG-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1318
540	YNVKFHIWFDRVNY-UHFFFAOYSA-N	Mouse	2.5	mg/kg		2.5 mg/kg	1319
541	QVQHWPLHUNEREE-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1320
542	XVFDNRYZXDHTHT-PXAZEXFGSA-N	Mouse					1321
543	XVFDNRYZXDHTHT-PXAZEXFGSA-N	Rat					1321
544	IVYQPSHHYIAUFO-VXKWHMMOSA-N	Other					345
545	RVOZYMPVGIVNJX-UHFFFAOYSA-N	Rat	0.3	mg/kg	IV	0.3 mg/Kg IV, 10 mg/Kg PO	1322
546	RVOZYMPVGIVNJX-UHFFFAOYSA-N	Rat	10	mg/kg	PO	0.3 mg/Kg IV, 10 mg/Kg PO	1322
547	RVOZYMPVGIVNJX-UHFFFAOYSA-N	Dog	0.3	mg/kg	IV	0.3 mg/Kg IV, 10 mg/Kg PO	1322
548	RVOZYMPVGIVNJX-UHFFFAOYSA-N	Dog	10	mg/kg	PO	0.3 mg/Kg IV, 10 mg/Kg PO	1322
549	DFQGDHBGRSTTHX-UHFFFAOYSA-N	Rat	2	mg/kg	IV	2 mg/Kg IV, 10 mg/Kg PO	1323
550	DFQGDHBGRSTTHX-UHFFFAOYSA-N	Rat	10	mg/kg	PO	2 mg/Kg IV, 10 mg/Kg PO	1323
551	HNIFCPBQMKPRCX-UHFFFAOYSA-N	Rat	2	mg/kg		2 mg/Kg	1324
552	HNIFCPBQMKPRCX-UHFFFAOYSA-N	Dog	0.2	mg/kg		0.2 mg/Kg	1324
553	REQQVBGILUTQNN-UHFFFAOYSA-N	Mouse	3	mg/kg		3 mg/Kg	1325
554	REQQVBGILUTQNN-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1325
555	REQQVBGILUTQNN-UHFFFAOYSA-N	Mouse	30	mg/kg		30 mg/Kg	1325
556	YJPWVCIGSHWNON-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/kg	350
557	YJPWVCIGSHWNON-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	350
558	MCIACXAZCBVDEE-CUUWFGFTSA-N	Rat	2	mg/kg		2 mg/Kg	1326
559	MCIACXAZCBVDEE-CUUWFGFTSA-N	Rat	5	mg/kg		5.0 mg/Kg	1326
560	TVMJSGGZULFVCZ-XMMPIXPASA-N	Rat	30	ug		30 µg	1327
561	YIHHYCIYAIVQKX-MBIULKOWSA-N	Mouse	3	mg/kg		3 mg/Kg	1328
562	MSFPLTWUFWOKBX-IFXJQAMLSA-O	Mouse	10	mg/kg		10 mg/kg	355
563	BBIPVJCGIASXJB-PKTZIBPZSA-N	Rat	1	mg/kg		1 mg/Kg	356
564	BBIPVJCGIASXJB-PKTZIBPZSA-N	Rat	9.75	mg/kg		9.75 mg/Kg	356
565	BBIPVJCGIASXJB-PKTZIBPZSA-N	Mouse	10	mg/kg		10 mg/Kg	356
566	SPMVMDHWKHCIDT-UHFFFAOYSA-N	Rat	0.04	mg/kg		0.04 mg/Kg	1329
567	SPMVMDHWKHCIDT-UHFFFAOYSA-N	Rat	0.2	mg/kg		0.2 mg/Kg	1329
568	SPMVMDHWKHCIDT-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1329
569	SPMVMDHWKHCIDT-UHFFFAOYSA-N	Rat	5	mg/mL		5 mg/mL	1329
570	ZRPZPNYZFSJUPA-UHFFFAOYSA-N	Mouse	50	mg/kg		50 mg/Kg, 200 mg/Kg	358
571	ZRPZPNYZFSJUPA-UHFFFAOYSA-N	Mouse	200	mg/kg		50 mg/Kg, 200 mg/Kg	358
572	NDRFFOKFYGUOKD-ZDUSSCGKSA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	1330
573	NDRFFOKFYGUOKD-ZDUSSCGKSA-N	Mouse	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	1330
574	PJKRNPPUSQSCHN-UHFFFAOYSA-N	Mouse	0.5	umol/kg		0.5 umol/kg	1331
575	PJKRNPPUSQSCHN-UHFFFAOYSA-N	Rat	0.5	umol/kg		0.5 umol/Kg	1331
576	QGPXEIMWTKWHMH-DEOSSOPVSA-N	Rat	1	mg/kg	IV	1 mg/kg IV, 10 mg/kg PO	1332
577	QGPXEIMWTKWHMH-DEOSSOPVSA-N	Rat	10	mg/kg	PO	1 mg/kg IV, 10 mg/kg PO	1332
578	QGPXEIMWTKWHMH-DEOSSOPVSA-N	Dog	1	mg/kg	IV	1 mg/kg IV, 10 mg/kg PO	1332
579	QGPXEIMWTKWHMH-DEOSSOPVSA-N	Dog	10	mg/kg	PO	1 mg/kg IV, 10 mg/kg PO	1332
580	QGPXEIMWTKWHMH-DEOSSOPVSA-N	Monkey (Cynomolgus)	1	mg/kg	IV	1 mg/kg IV, 10 mg/kg PO	1332
581	QGPXEIMWTKWHMH-DEOSSOPVSA-N	Monkey (Cynomolgus)	10	mg/kg	PO	1 mg/kg IV, 10 mg/kg PO	1332
582	AAHNBILIYONQLX-UHFFFAOYSA-N	Rat				1 IV, 2 PO mg/Kg	1333
583	AAHNBILIYONQLX-UHFFFAOYSA-N	Dog				0.2 IV; 0.5 PO mg/Kg	1333
584	FRPJGTNLZNXQEX-UHFFFAOYSA-N	Rat	0.03	umol/kg		0.03 umol/Kg	364
585	WDZVWDXOIGQJIO-UHFFFAOYSA-N	Rat	1	mg/kg	IV	1 mg/kg IV, 5 mg/Kg PO	365
586	WDZVWDXOIGQJIO-UHFFFAOYSA-N	Rat	5	mg/kg	PO	1 mg/kg IV, 5 mg/Kg PO	365
587	LWJGMYMNSNVCEM-UHFFFAOYSA-N	Mouse	0.1	mg/kg		0.1 - 10 mg/Kg	1334
588	LWJGMYMNSNVCEM-UHFFFAOYSA-N	Rat	1	mg/kg		1 - 10 mg/Kg	1334
589	BEBDKSYNJJVZSO-SECBINFHSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 10 mg/Kg PO	1335
590	BEBDKSYNJJVZSO-SECBINFHSA-N	Rat	10	mg/kg	PO	1 mg/Kg IV, 10 mg/Kg PO	1335
591	SWOIFXHMBKFCRM-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/Kg	1336
592	SWOIFXHMBKFCRM-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/Kg	1336
593	FOECKIWHCOYYFL-UHFFFAOYSA-N	Mouse	25	mg/kg		25 - 75 mg/kg	1337
594	UNSHMXUHOHBLIQ-UHFFFAOYSA-N	Rat	0.3	mg/kg		0.3 mg/Kg	1338
595	UNSHMXUHOHBLIQ-UHFFFAOYSA-N	Rat	0.6	mg/kg		0.6 mg/Kg	1338
596	UNSHMXUHOHBLIQ-UHFFFAOYSA-N	Mouse	100	mg/kg		25, 50, 100 mg/Kg	1338
597	ZGBAPSHWPBXEKN-OPHFCASCSA-N	Mouse	0.3	mg/kg		0.3 mg/Kg	371
598	ZGBAPSHWPBXEKN-OPHFCASCSA-N	Mouse	5	mg/kg		5 mg/Kg	371
599	QVIWDCUKIZPUBD-WLRWWHNQSA-N	Mouse	100	mg/kg		100 mg/kg	1339
600	XFYUTGIEFKGWND-NRFANRHFSA-N	Other				1 IV, 5-50 PO mg/Kg	372
601	KIWKRCCIHSGWQS-VIFPVBQESA-N	Other				5 uM	1340
602	OMZCMEYTWSXEPZ-UHFFFAOYSA-N	Mouse	20	mg/kg		20-80 mg/kg	374
603	BMLGZNVPWRUVNM-IBGZPJMESA-N	Other	0.5	mg/kg	IP	0.5 mg/Kg IP, 2 mg/Kg PO	375
604	BMLGZNVPWRUVNM-IBGZPJMESA-N	Other	2	mg/kg	PO	0.5 mg/Kg IP, 2 mg/Kg PO	375
605	LZSPYTNDRPEZBK-OXYJHPMESA-N	Rat	10	mg/kg		10 mg/Kg	377
606	FSELUFUYNUNZKD-UHFFFAOYSA-N	Mouse	20	mg/kg		20 mg/Kg	1341
607	CYFBRQHYEQKYHH-MRXNPFEDSA-N	Mouse	100	mg/kg		100 mg/Kg	379
608	AESXAJXKMUNYJP-ZWFIUULVSA-N	Rat	1	mg/kg		1-2 mg/Kg	1342
609	AESXAJXKMUNYJP-ZWFIUULVSA-N	Rat	2	mg/kg		2-5 mg/Kg	1342
610	AESXAJXKMUNYJP-ZWFIUULVSA-N	Dog	1	mg/kg		1-2 mg/Kg	1342
611	AESXAJXKMUNYJP-ZWFIUULVSA-N	Dog	2	mg/kg		2-5 mg/Kg	1342
612	CSBKUBOVPUXFLO-MAVVKCOWSA-N	Mouse	50	mg/kg/day		50 mg/Kg/day	1343
613	CLSNATLUIXZPMV-UHFFFAOYSA-N	Mouse	0.5	mg/kg		0.5-2 mg/Kg	382
614	NTIFDLOQPKMIJK-AJTFRIOCSA-N	Mouse	4	mg/kg	IV	4 mg/Kg IV, 10 mg/Kg PO	1344
615	NTIFDLOQPKMIJK-AJTFRIOCSA-N	Mouse	10	mg/kg	PO	4 mg/Kg IV, 10 mg/Kg PO	1344
616	NTIFDLOQPKMIJK-AJTFRIOCSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 2 mg/Kg PO	1344
617	NTIFDLOQPKMIJK-AJTFRIOCSA-N	Rat	2	mg/kg	PO	1 mg/Kg IV, 2 mg/Kg PO	1344
618	NTIFDLOQPKMIJK-AJTFRIOCSA-N	Dog	1	mg/kg	IV	1 mg/Kg IV, 2 mg/Kg PO	1344
619	NTIFDLOQPKMIJK-AJTFRIOCSA-N	Dog	2	mg/kg	PO	1 mg/Kg IV, 2 mg/Kg PO	1344
620	NTIFDLOQPKMIJK-AJTFRIOCSA-N	Monkey (Rheus)	1	mg/kg	IV	1 mg/Kg IV, 2 mg/Kg PO	1344
621	NTIFDLOQPKMIJK-AJTFRIOCSA-N	Monkey (Rheus)	2	mg/kg	PO	1 mg/Kg IV, 2 mg/Kg PO	1344
622	VERWOWGGCGHDQE-UHFFFAOYSA-N	Other				"5 IV, 20 PO (M); 3 IV, 10 PO (R); 5 IV, 20 PO (D);	5 IV, 60 PO (C) mg/Kg"	384
623	NRJKIOCCERLIDG-GOSISDBHSA-N	Other	2	mg/kg		0.5, 1, 2 mg/Kg	385
624	BRJXJOWXAFLRTE-OAQYLSRUSA-N	Mouse	100	mg/kg		100 mg/Kg	1345
625	XOQVZSSDIQQUGO-UHFFFAOYSA-N	Mouse	30	mg/kg		30 mg/kg twice daily	1346
626	URWYQGVSPQJGGB-DHUJRADRSA-N	Rat	0.25	mg/kg		0.25 mg/Kg	1347
627	HDZWHJYZJWLTAG-UHFFFAOYSA-N	Mouse	30	mg/kg/day		30 mg/Kg/Day	389
628	BJXYHBKEQFQVES-NWDGAFQWSA-N	Mouse	1	mg/kg		1 mg/Kg	1348
629	BJXYHBKEQFQVES-NWDGAFQWSA-N	Rat	1	mg/kg		1 mg/Kg	1348
630	BJXYHBKEQFQVES-NWDGAFQWSA-N	Dog	1	mg/kg		1 mg/Kg	1348
631	BXKNUXDLZJPPBO-UHFFFAOYSA-N	Mouse	5	mg/kg		5 mg/Kg	1349
632	BXKNUXDLZJPPBO-UHFFFAOYSA-N	Rat	5	mg/kg		5 mg/Kg	1349
633	WCPXAGKUVIPMIY-TZQLILQPSA-N	Mouse	3	mg/kg	IV	3 mg/Kg IV, 10 mg/Kg PO	1350
634	WCPXAGKUVIPMIY-TZQLILQPSA-N	Mouse	10	mg/kg	PO	3 mg/Kg IV, 10 mg/Kg PO	1350
635	WCPXAGKUVIPMIY-TZQLILQPSA-N	Dog	0.1	mg/kg	IV	0.1 mg/Kg IV, 0.3 mg/Kg PO	1350
636	WCPXAGKUVIPMIY-TZQLILQPSA-N	Dog	0.3	mg/kg	PO	0.1 mg/Kg IV, 0.3 mg/Kg PO	1350
637	WCPXAGKUVIPMIY-TZQLILQPSA-N	Rat	1	mg/kg	IV	1 mg/Kg IV, 3 mg/Kg PO	1350
638	WCPXAGKUVIPMIY-TZQLILQPSA-N	Rat	3	mg/kg	PO	1 mg/Kg IV, 3 mg/Kg PO	1350
639	VHSIAYLBCLUAFT-UHFFFAOYSA-N	Mouse	10	mg/kg		10 mg/Kg	1351
640	VHSIAYLBCLUAFT-UHFFFAOYSA-N	Rat	10	mg/kg		10 mg/Kg	1351
641	VHSIAYLBCLUAFT-UHFFFAOYSA-N	Dog	10	mg/kg		10 mg/Kg	1351
642	VHSIAYLBCLUAFT-UHFFFAOYSA-N	Monkey (Rheus)	10	mg/kg		10 mg/Kg	1351
643	AZXOTZCWQDJCLY-SJCJKPOMSA-N	Rat	1	mg/kg		1.0 mg/Kg	1352
644	AZXOTZCWQDJCLY-SJCJKPOMSA-N	Dog	0.5	mg/kg		0.5 mg/Kg	1352
645	APLVGTKXOIMODQ-IBGZPJMESA-N	Mouse	1	mg/kg	IV	1 mg/Kg IV, 5 mg/Kg PO	395
646	APLVGTKXOIMODQ-IBGZPJMESA-N	Mouse	5	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO	395
647	HZRJHVDNTDBTOZ-QGZVFWFLSA-N	Mouse	0.3	mg/kg	IV	0.3 mg/Kg IV, up to 200 mg/Kg	405
