id	inchikey	organism	dose_value	dose_unit	route	dose_raw	source_id
180	LQEHCKYYIXQEBM-FUKIBTTHSA-N	Dog	10	mg/kg	PO	5 mg/Kg IV, 10 mg/Kg PO	123
181	LQEHCKYYIXQEBM-FUKIBTTHSA-N	Monkey (Cynomolgus)	5	mg/kg	IV	5 mg/Kg IV, 10 mg/Kg PO	123
182	LQEHCKYYIXQEBM-FUKIBTTHSA-N	Monkey (Cynomolgus)	10	mg/kg	PO	5 mg/Kg IV, 10 mg/Kg PO	123
183	CSJYMAFXYMYNCK-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/Kg	1219
184	CSJYMAFXYMYNCK-UHFFFAOYSA-N	Rat	2	mg/kg		2 mg/kg	1219
185	ILHNIWOZZKIBNW-UHFFFAOYSA-N	Rat	3	mg/kg		3 mg/kg	1220
186	OAMLIJKKGZLNHE-UHFFFAOYSA-N	Rat	1	mg/kg		1 mg/kg	1221
187	OAMLIJKKGZLNHE-UHFFFAOYSA-N	Monkey (Rheus)	0.5	mg/kg		0.5 mg/Kg	1221
188	JTCAGRAKUAAYDY-OAHLLOKOSA-N	Rat	5	mg/kg	PO	5 mg/Kg PO, 1 mg/Kg IV	1222
189	JTCAGRAKUAAYDY-OAHLLOKOSA-N	Rat	1	mg/kg	IV	5 mg/Kg PO, 1 mg/Kg IV	1222
190	JTCAGRAKUAAYDY-OAHLLOKOSA-N	Dog	5	mg/kg	PO	5 mg/Kg PO, 1 mg/Kg IV	1222
191	JTCAGRAKUAAYDY-OAHLLOKOSA-N	Dog	1	mg/kg	IV	5 mg/Kg PO, 1 mg/Kg IV	1222
192	FSWFYCYPTDLKON-CMJOXMDJSA-N	Rat				0.52 (IV), 1.04 (PO) mg/Kg	1223
