chembl_id	inchikey
CHEMBL1873475	XYFPWWZEPKGCCK-GOSISDBHSA-N
CHEMBL483321	LLVZBTWPGQVVLW-SNAWJCMRSA-N
CHEMBL2216824	GJFCSAPFHAXMSF-UXBLZVDNSA-N
CHEMBL3414623	PNYRDVBFYVDJJI-UHFFFAOYSA-N
CHEMBL2017291	VUVUVNZRUGEAHB-CYBMUJFWSA-N
CHEMBL5095043	UQZCQKXJAXKZQH-LBPRGKRZSA-N
CHEMBL3989870	JZCWLJDSIRUGIN-UHFFFAOYSA-N
CHEMBL3702854	LCFFREMLXLZNHE-GBOLQPHISA-N
CHEMBL504387	XOPYFXBZMVTEJF-PDACKIITSA-N
CHEMBL4450419	WGKGADVPRVLHHZ-ZHRMCQFGSA-N
CHEMBL7463	QMGUOJYZJKLOLH-UHFFFAOYSA-N
CHEMBL4110551	GRTDDIZIUSADLD-CRAIPNDOSA-N
CHEMBL2070953	OXQNLLVUVDAEHC-OAQYLSRUSA-N
CHEMBL21241	PKNYXWMTHFMHKD-UHFFFAOYSA-N
CHEMBL3342944	HRJWSEPIRZRGCL-UHFFFAOYSA-N
CHEMBL5072532	OYUDYQMFVRHPIY-UHFFFAOYSA-N
CHEMBL4650318	USHQRIKZLHNPQR-JTQLQIEISA-N
CHEMBL1474387	CJAQCMBWGUOBIX-ZUQRMPMESA-M
CHEMBL3335793	PRNXOFBDXNTIFG-FQEVSTJZSA-N
CHEMBL2426364	PQOOIERVZAXHBP-UHFFFAOYSA-N
CHEMBL3236549	COOGVHJHSCBOQT-MRVPVSSYSA-N
CHEMBL4802038	DLNFTRSEHUWEGO-HUUCEWRRSA-N
CHEMBL4063082	PDMXSCCBEBCTGX-UHFFFAOYSA-N
CHEMBL4802042	QBIGUDRHHJTXKG-UUWRZZSWSA-N
CHEMBL4780673	JYTISQGEFSHUIR-UHFFFAOYSA-N
CHEMBL3613709	GRXCLNMCJWKTAT-UHFFFAOYSA-N
CHEMBL4802040	VGRLXWFIXGZRMS-UHFFFAOYSA-N
CHEMBL308148	PGKXDIMONUAMFR-AREMUKBSSA-N
CHEMBL4778870	PWKAYICUBVNJAZ-UHFFFAOYSA-N
CHEMBL1254577	MSTXJJGAXXJCBY-UHFFFAOYSA-N
CHEMBL3613749	IVDUVEGCMXCMSO-FQEVSTJZSA-N
CHEMBL362558	HRJWTAWVFDCTGO-UHFFFAOYSA-N
CHEMBL4435170	BZZKEPGENYLQSC-FIBGUPNXSA-N
CHEMBL1487	XUKUURHRXDUEBC-KAYWLYCHSA-N
CHEMBL4650365	WDHOIABIERMLGY-CMJOXMDJSA-N
CHEMBL4648616	YTINZZFBHWSAGL-NDEPHWFRSA-N
CHEMBL4790618	VNCIWNGCMAKKEO-UHFFFAOYSA-N
CHEMBL1469	OBKXEAXTFZPCHS-UHFFFAOYSA-N
CHEMBL4520134	AVKAVKZKOFSSMY-DEOSSOPVSA-N
CHEMBL4552313	QGNDVASWIHEXCL-AWEZNQCLSA-N
CHEMBL4073178	ZKIRTFGYQVXNGL-UHFFFAOYSA-N
CHEMBL4780617	AQTNUGRRZDRZIA-UHFFFAOYSA-N
CHEMBL2158866	RZFJBSIAXYEPBX-UHFFFAOYSA-N
CHEMBL4752253	IXWUILRSNIQHDM-QGZVFWFLSA-N
CHEMBL4443342	AUOSKLDNVNGKRR-UHFFFAOYSA-N
CHEMBL4206831	KGXBCWANASZZQG-UHFFFAOYSA-N
CHEMBL4800073	ZRTFTZCKJUNZIU-HNNXBMFYSA-N
CHEMBL2144065	JKJMWHULJIOKPJ-UHFFFAOYSA-N
CHEMBL3182405	TXJZRSRTYPUYRW-GHTZIAJQSA-N
CHEMBL415879	DGEZNRSVGBDHLK-UHFFFAOYSA-N
CHEMBL5095220	WQAVGRAETZEADU-UHFFFAOYSA-N
CHEMBL5094158	MLJVGAYSVYMPSB-MSUKGTQXSA-N
CHEMBL4639395	OQFCHSFVWSLDAO-UHFFFAOYSA-N
CHEMBL273807	AJBBEYXFRYFVNM-UHFFFAOYSA-N
CHEMBL5190401	HNOLTAKAPDKZRY-AWEZNQCLSA-N
CHEMBL4297405	KJDAGXLMHXUAGV-DGWLBADLSA-N
CHEMBL16192	FLNYLINBEZROPL-NSOVKSMOSA-N
CHEMBL81977	GSCPDZHWVNUUFI-UHFFFAOYSA-N
CHEMBL4553037	CMJJZRAAQMUAFH-INIZCTEOSA-N
CHEMBL4461619	MSIJJXOWLFOYIN-UHFFFAOYSA-N
CHEMBL5083143	FFLJVBPCONQSQW-UHFFFAOYSA-N
CHEMBL4514203	IESAJAZKMLPVIB-VXGBXAGGSA-N
