id	inchikey	target_id	moa
222	SQNZDYHMCMIGGV-TZPPCSJFSA-N	55	degrader (protac)
223	RNQODBQYMXYMCT-SJORKVTESA-N	191	antagonist
224	RFZQYGBLRIKROZ-PCLIKHOPSA-N	627	inhibitor
225	BPLVDYJDAVYLRQ-UHFFFAOYSA-N	625	inhibitor
226	UJLAWZDWDVHWOW-YPMHNXCESA-N	180	inhibitor
227	UJLAWZDWDVHWOW-YPMHNXCESA-N	52	inhibitor
228	UJLAWZDWDVHWOW-YPMHNXCESA-N	318	inhibitor
229	WNEILUNVMHVMPH-UHFFFAOYSA-N	228	inhibitor
230	NMJMRSQTDLRCRQ-UHFFFAOYSA-N	228	inhibitor
231	AEJOEPSMZCEYJN-HXUWFJFHSA-N	253	agonist
232	BFTKDWYIRJGJCA-CYBMUJFWSA-N	376	antagonist
233	BFTKDWYIRJGJCA-CYBMUJFWSA-N	501	antagonist
234	OJKONCJPCULNOW-DYVFJYSZSA-N	429	inhibitor
235	YDNOHCOYQVZOMC-UHFFFAOYSA-N	5	inhibitor
236	OFWWWKWUCDUISA-UHFFFAOYSA-N	82	antagonist
237	OFWWWKWUCDUISA-UHFFFAOYSA-N	169	antagonist
238	OFWWWKWUCDUISA-UHFFFAOYSA-N	481	antagonist
239	CDQRIIUMNLMHRH-UHFFFAOYSA-N	274	inhibitor
240	CHEANNSDVJOIBS-MHZLTWQESA-N	19	full agonist
241	SFMJNHNUOVADRW-UHFFFAOYSA-N	316	covalent inhibitor
242	AOZPVMOOEJAZGK-UHFFFAOYSA-N	373	inhibitor
243	UMRRDXVUROEIKJ-JCXBGQGISA-N	86	antagonist
244	UMRRDXVUROEIKJ-JCXBGQGISA-N	3	antagonist
245	QBGKPEROWUKSBK-QPPIDDCLSA-N	348	antagonist
246	NRSGWEVTVGZDFC-UHFFFAOYSA-N	394	inhibitor
247	NRSGWEVTVGZDFC-UHFFFAOYSA-N	57	inhibitor
248	HUUSXLKCTQDPGL-UHFFFAOYSA-N	517	inhibitor
249	ARBRHWRTXPWZGN-UHFFFAOYSA-N	533	inhibitor
250	PXVFFBGSTYQHRO-REQIQPEASA-N	367	degrader (protac)
251	LIMCHOLAKDUZDS-XARBDFOFSA-N	525	degrader (protac)
252	QMGHHBHPDDAGGO-IIWOMYBWSA-N	601	degrader (protac)
253	KPBNHDGDUADAGP-VAWYXSNFSA-N	273	inhibitor
254	JFOAJUGFHDCBJJ-UHFFFAOYSA-N	228	inhibitor
255	FNYGWXSATBUBER-UHFFFAOYSA-N	68	inhibitor
256	WVAKRQOMAINQPU-UHFFFAOYSA-N	226	agonist
257	NAXSRXHZFIBFMI-UHFFFAOYSA-N	327	agonist
258	NAXSRXHZFIBFMI-UHFFFAOYSA-N	384	agonist
259	RZXMIHOUHYSGJO-UHFFFAOYSA-N	87	inhibitor
260	RZXMIHOUHYSGJO-UHFFFAOYSA-N	591	inhibitor
261	RZXMIHOUHYSGJO-UHFFFAOYSA-N	571	inhibitor
262	ZDBWLRLGUBSLPG-FDHYQTMZSA-N	393	antagonist
263	KSGZCKSNTAJOJS-DZBMUNJRSA-N	543	inhibitor
264	KSGZCKSNTAJOJS-DZBMUNJRSA-N	291	inhibitor
265	JLFSBHQQXIAQEC-UHFFFAOYSA-N	131	inhibitor
266	JLFSBHQQXIAQEC-UHFFFAOYSA-N	600	inhibitor
267	JLFSBHQQXIAQEC-UHFFFAOYSA-N	80	inhibitor
268	JLFSBHQQXIAQEC-UHFFFAOYSA-N	556	inhibitor
269	FWLMVFUGMHIOAA-UHFFFAOYSA-N	360	inhibitor
270	FWLMVFUGMHIOAA-UHFFFAOYSA-N	409	inhibitor
271	XYFPWWZEPKGCCK-GOSISDBHSA-N	363	covalent inhibitor
272	LLVZBTWPGQVVLW-SNAWJCMRSA-N	105	inhibitor
273	GJFCSAPFHAXMSF-UXBLZVDNSA-N	275	covalent inhibitor
274	GJFCSAPFHAXMSF-UXBLZVDNSA-N	276	covalent inhibitor
275	GJFCSAPFHAXMSF-UXBLZVDNSA-N	323	covalent inhibitor
276	PNYRDVBFYVDJJI-UHFFFAOYSA-N	576	inhibitor
277	VUVUVNZRUGEAHB-CYBMUJFWSA-N	55	antagonist
278	VUVUVNZRUGEAHB-CYBMUJFWSA-N	192	antagonist
279	VUVUVNZRUGEAHB-CYBMUJFWSA-N	416	antagonist
280	ALGHKWSXJUQNJJ-UHFFFAOYSA-N	252	agonist
281	QPTCYEYTAWEZNT-UHFFFAOYSA-N	280	inverse agonist
282	HNCVDRFFJZJQRW-UHFFFAOYSA-N	581	inhibitor
283	KSERXGMCDHOLSS-LJQANCHMSA-N	202	inhibitor
284	KSERXGMCDHOLSS-LJQANCHMSA-N	196	inhibitor
285	BIAVGWDGIJKWRM-FQEVSTJZSA-N	208	antagonist
286	WRCGBYNVBFVRTN-UHFFFAOYSA-N	642	inhibitor
287	XNULRSOGWPFPBL-REWPJTCUSA-N	124	antagonist
288	ADZBMFGQQWPHMJ-RHSMWYFYSA-N	113	inhibitor
289	KYOIGHSNTIJBPW-UHFFFAOYSA-N	448	inhibitor
290	ILOIOIGZFHGSMS-UHFFFAOYSA-N	450	inhibitor
291	ILOIOIGZFHGSMS-UHFFFAOYSA-N	9	inhibitor
292	FROGGFONBYACJB-KRWDZBQOSA-N	42	inhibitor
293	UQZCQKXJAXKZQH-LBPRGKRZSA-N	463	inhibitor
294	JZCWLJDSIRUGIN-UHFFFAOYSA-N	396	inhibitor
295	LCFFREMLXLZNHE-GBOLQPHISA-N	363	covalent inhibitor
296	FUIYMYNYUHVDPT-HDJSIYSDSA-N	69	inhibitor
297	XOPYFXBZMVTEJF-PDACKIITSA-N	114	inhibitor
298	GRTDDIZIUSADLD-CRAIPNDOSA-N	95	inhibitor
299	OXQNLLVUVDAEHC-OAQYLSRUSA-N	313	activator
300	PKNYXWMTHFMHKD-UHFFFAOYSA-N	369	agonist
301	HRJWSEPIRZRGCL-UHFFFAOYSA-N	578	antagonist
302	KBFUQFVFYYBHBT-UHFFFAOYSA-N	37	inhibitor
303	OYUDYQMFVRHPIY-UHFFFAOYSA-N	233	partial activator
304	USHQRIKZLHNPQR-JTQLQIEISA-N	146	modulator
305	PQUGCKBLVKJMNT-UHFFFAOYSA-N	179	inhibitor
306	WWOOWAHTEXIWBO-QFRSUPTLSA-N	17	inhibitor
307	WULUGQONDYDNKY-UHFFFAOYSA-N	291	inhibitor
308	WULUGQONDYDNKY-UHFFFAOYSA-N	543	inhibitor
309	CJAQCMBWGUOBIX-ZUQRMPMESA-M	457	antagonist
310	YEVOZZZLKJKCCD-UHFFFAOYSA-N	445	inhibitor
311	PRNXOFBDXNTIFG-FQEVSTJZSA-N	324	inhibitor
312	PQOOIERVZAXHBP-UHFFFAOYSA-N	513	inhibitor
313	COOGVHJHSCBOQT-MRVPVSSYSA-N	557	antagonist
314	DLNFTRSEHUWEGO-HUUCEWRRSA-N	76	inhibitor
315	LIIWIMDSZVNYHY-UHFFFAOYSA-N	595	inhibitor
316	PDMXSCCBEBCTGX-UHFFFAOYSA-N	361	inhibitor
317	QBIGUDRHHJTXKG-UUWRZZSWSA-N	307	inverse agonist
318	JYTISQGEFSHUIR-UHFFFAOYSA-N	378	inhibitor
319	GRXCLNMCJWKTAT-UHFFFAOYSA-N	469	inhibitor
