target_id	source_db	property	ordinal	value
123	Chemical Probes Portal	class	0	GPCR
123	Chemical Probes Portal	subClass	0	Muscarinic receptor
124	Chemical Probes Portal	class	0	NHR
124	Chemical Probes Portal	subClass	0	Mineralocorticoid receptor
125	Chemical Probes Portal	class	0	Other post-translational modification
125	Chemical Probes Portal	subClass	0	Chaperone
126	Chemical Probes Portal	class	0	Enzyme
126	Chemical Probes Portal	subClass	0	Protease
126	Chemical Probes Portal	subClass	1	peptidase S1 family
127	Chemical Probes Portal	class	0	Kinase
127	Chemical Probes Portal	subClass	0	TK
127	Chemical Probes Portal	subClass	1	Tyrosine kinase
128	Chemical Probes Portal	class	0	Enzyme
128	Chemical Probes Portal	subClass	0	Peptidase
129	Chemical Probes Portal	class	0	Kinase
129	Chemical Probes Portal	subClass	0	TK
130	Chemical Probes Portal	class	0	Kinase
130	Chemical Probes Portal	class	1	Protein kinase
130	Chemical Probes Portal	subClass	0	TK
131	Chemical Probes Portal	class	0	Other post-translational modification
131	Chemical Probes Portal	subClass	0	PARP
132	Chemical Probes Portal	class	0	Other
132	Chemical Probes Portal	class	1	Enzyme
132	Chemical Probes Portal	subClass	0	Peptidase C12 family
132	Chemical Probes Portal	subClass	1	Peptidase
133	Chemical Probes Portal	class	0	Other
133	Chemical Probes Portal	subClass	0	Hydrolase
134	Chemical Probes Portal	class	0	NHR
134	Chemical Probes Portal	class	1	Transcription factor
134	Chemical Probes Portal	subClass	0	Dihydrotestosterone receptor
134	Chemical Probes Portal	subClass	1	Androgen receptor
134	Chemical Probes Portal	subClass	2	Nuclear Hormone Receptor
135	Chemical Probes Portal	class	0	Enzyme
135	Chemical Probes Portal	class	1	Other
135	Chemical Probes Portal	subClass	0	Apoptosis Regulator
135	Chemical Probes Portal	subClass	1	Protein Phosphatase
136	Chemical Probes Portal	class	0	Extracellular protein
136	Chemical Probes Portal	subClass	0	Microtubule Associated Protein
137	Chemical Probes Portal	class	0	Protein kinase
137	Chemical Probes Portal	class	1	Kinase
137	Chemical Probes Portal	subClass	0	TK
137	Chemical Probes Portal	subClass	1	Tyr kinase
138	Chemical Probes Portal	class	0	Transporter
138	Chemical Probes Portal	subClass	0	Solute Carrier
139	Chemical Probes Portal	class	0	GPCR
139	Chemical Probes Portal	subClass	0	Acetylcholine Receptor
140	Chemical Probes Portal	class	0	Kinase
140	Chemical Probes Portal	subClass	0	CAMK
141	Chemical Probes Portal	class	0	Kinase
141	Chemical Probes Portal	subClass	0	TK
141	Chemical Probes Portal	subClass	1	Tyrosine kinase
142	Chemical Probes Portal	class	0	Enzyme
142	Chemical Probes Portal	subClass	0	Dehydrogenase
143	Chemical Probes Portal	class	0	Transporter
143	Chemical Probes Portal	subClass	0	BPI/LBP family
144	Chemical Probes Portal	class	0	Kinase
144	Chemical Probes Portal	subClass	0	CMGC
145	Chemical Probes Portal	class	0	Kinase
145	Chemical Probes Portal	class	1	Protein kinase
145	Chemical Probes Portal	subClass	0	TK
146	Chemical Probes Portal	class	0	Structural protein
146	Chemical Probes Portal	class	1	Ion Channel
146	Chemical Probes Portal	subClass	0	ABCC
146	Chemical Probes Portal	subClass	1	Conductance Regulator
147	Chemical Probes Portal	class	0	Enzyme
147	Chemical Probes Portal	subClass	0	Dehydrogenase
148	Chemical Probes Portal	class	0	Other post-translational modification
148	Chemical Probes Portal	subClass	0	Tautomerase
149	Chemical Probes Portal	class	0	Kinase
149	Chemical Probes Portal	subClass	0	TK
150	Chemical Probes Portal	class	0	Enzyme
150	Chemical Probes Portal	subClass	0	Dioxygenase
151	Chemical Probes Portal	class	0	Kinase
151	Chemical Probes Portal	subClass	0	TKL
152	Chemical Probes Portal	class	0	Other
152	Chemical Probes Portal	class	1	Transcription factor
152	Chemical Probes Portal	class	2	Translation Termination Factor
152	Chemical Probes Portal	subClass	0	Translation Termination Factor
153	Chemical Probes Portal	class	0	Kinase
153	Chemical Probes Portal	subClass	0	TK
154	Chemical Probes Portal	class	0	Enzyme
154	Chemical Probes Portal	subClass	0	Phosphatase
155	Chemical Probes Portal	class	0	Kinase
155	Chemical Probes Portal	subClass	0	Tyrosine kinase
156	Chemical Probes Portal	class	0	Enzyme
156	Chemical Probes Portal	subClass	0	Phosphatase
157	Chemical Probes Portal	class	0	GPCR
157	Chemical Probes Portal	subClass	0	Adrenergic receptor
158	Chemical Probes Portal	class	0	Enzyme
158	Chemical Probes Portal	subClass	0	B
159	Chemical Probes Portal	class	0	Transporter
159	Chemical Probes Portal	class	1	Ion Channel
159	Chemical Probes Portal	subClass	0	Solute Carrier
159	Chemical Probes Portal	subClass	1	Cation Proton Antiporter
160	Chemical Probes Portal	class	0	Kinase
160	Chemical Probes Portal	subClass	0	Ser/Thr kinase
160	Chemical Probes Portal	subClass	1	CMGC
161	Chemical Probes Portal	class	0	NHR
161	Chemical Probes Portal	subClass	0	Retinoic acid receptor
162	Chemical Probes Portal	class	0	Enzyme
162	Chemical Probes Portal	class	1	Membrane protein
162	Chemical Probes Portal	subClass	0	5-lipoxygenase
162	Chemical Probes Portal	subClass	1	Five-Lipoxygenase Activating Protein
163	Chemical Probes Portal	class	0	GPCR
163	Chemical Probes Portal	subClass	0	Muscarinic Receptor
164	Chemical Probes Portal	class	0	Integrin
165	Chemical Probes Portal	class	0	GPCR
165	Chemical Probes Portal	subClass	0	Tachykinin receptor
166	Chemical Probes Portal	class	0	GPCR
166	Chemical Probes Portal	subClass	0	Sphingosine receptor
167	Chemical Probes Portal	class	0	GPCR
167	Chemical Probes Portal	subClass	0	Cannabinoid Receptor
167	Chemical Probes Portal	subClass	1	Cannabinoid receptor
168	Chemical Probes Portal	class	0	Other
168	Chemical Probes Portal	subClass	0	Membrane Protein
169	Chemical Probes Portal	class	0	Epigenetic
169	Chemical Probes Portal	subClass	0	Bromodomain
170	Chemical Probes Portal	class	0	GPCR
170	Chemical Probes Portal	subClass	0	Complement peptide receptor
171	Chemical Probes Portal	class	0	Kinase
171	Chemical Probes Portal	subClass	0	TK
171	Chemical Probes Portal	subClass	1	Tyrosine Kinase
172	Chemical Probes Portal	class	0	Protein kinase
172	Chemical Probes Portal	subClass	0	RTK
173	Chemical Probes Portal	class	0	GPCR
173	Chemical Probes Portal	subClass	0	Dopamine receptor
173	Chemical Probes Portal	subClass	1	Dopamine D4 receptors
174	Chemical Probes Portal	class	0	Other post-translational modification
174	Chemical Probes Portal	class	1	Enzyme
174	Chemical Probes Portal	subClass	0	Ubiquitin-conjugating enzyme
175	Chemical Probes Portal	class	0	Enzyme
175	Chemical Probes Portal	subClass	0	phosphodiesterase
176	Chemical Probes Portal	class	0	Protein kinase
176	Chemical Probes Portal	class	1	Kinase
176	Chemical Probes Portal	subClass	0	TK
176	Chemical Probes Portal	subClass	1	Tyrosine kinase
176	Chemical Probes Portal	subClass	2	Tyrosine Kinase
177	Chemical Probes Portal	class	0	Kinase
177	Chemical Probes Portal	subClass	0	TK
177	Chemical Probes Portal	subClass	1	Tyrosine Kinase
178	Chemical Probes Portal	class	0	GPCR
178	Chemical Probes Portal	subClass	0	Luteinizing hormone receptor
178	Chemical Probes Portal	subClass	1	Hormone Receptor
179	Chemical Probes Portal	class	0	Enzyme
179	Chemical Probes Portal	subClass	0	Synthase
180	Chemical Probes Portal	class	0	Kinase
180	Chemical Probes Portal	subClass	0	TK
180	Chemical Probes Portal	subClass	1	Tyrosine kinase
181	Chemical Probes Portal	class	0	Kinase
181	Chemical Probes Portal	subClass	0	Lipid kinase
182	Chemical Probes Portal	class	0	Enzyme
182	Chemical Probes Portal	subClass	0	Peptidase
183	Chemical Probes Portal	class	0	GPCR
183	Chemical Probes Portal	subClass	0	Endothelin Receptor
184	Chemical Probes Portal	class	0	Kinase
184	Chemical Probes Portal	subClass	0	CMGC
185	Chemical Probes Portal	class	0	GPCR
185	Chemical Probes Portal	subClass	0	Formyl peptide receptor
186	Chemical Probes Portal	class	0	Kinase
186	Chemical Probes Portal	subClass	0	AGC
187	Chemical Probes Portal	class	0	GPCR
187	Chemical Probes Portal	subClass	0	Alpha-Adrenergic Receptor
188	Chemical Probes Portal	class	0	GPCR
188	Chemical Probes Portal	subClass	0	Endothelin Receptor
189	Chemical Probes Portal	class	0	GPCR
189	Chemical Probes Portal	subClass	0	NK-1 Receptor
190	Chemical Probes Portal	class	0	GPCR
190	Chemical Probes Portal	subClass	0	Platelet-activating factor receptor
191	Chemical Probes Portal	class	0	GPCR
191	Chemical Probes Portal	subClass	0	Trombin Receptor
192	Chemical Probes Portal	class	0	Epigenetic
192	Chemical Probes Portal	subClass	0	Bromodomain
193	Chemical Probes Portal	class	0	Enzyme
193	Chemical Probes Portal	subClass	0	Peptidase
194	Chemical Probes Portal	class	0	GPCR
194	Chemical Probes Portal	subClass	0	Neuropeptide Y receptor
195	Chemical Probes Portal	class	0	Epigenetic
195	Chemical Probes Portal	subClass	0	Methyltransferase
196	Chemical Probes Portal	class	0	Kinase
196	Chemical Probes Portal	subClass	0	CMGC
197	Chemical Probes Portal	class	0	Protein metabolism
197	Chemical Probes Portal	subClass	0	Proteasome subunit
198	Chemical Probes Portal	class	0	GPCR
198	Chemical Probes Portal	subClass	0	Serotonin Receptor
199	Chemical Probes Portal	class	0	GPCR
199	Chemical Probes Portal	subClass	0	Serotonin Receptor
200	Chemical Probes Portal	class	0	GPCR
