inchikey	name	smiles	chembl_id	cansar_id	portal_path	published_date	pains	toxicophore	rating_in_cell	rating_in_organism	rating_count	reference	source_db
BIIVYFLTOXDAOV-YVEFUNNKSA-N	Flavopiridol	CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1		1905588	unsuitables/flavopiridol	2016-12-09	No	No	0	0	0		Chemical Probes Portal
OUSFTKFNBAZUKL-UHFFFAOYSA-N	BMS-387032	CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1		1596650	unsuitables/bms-387032	2016-12-09	No	No	0	0	0		Chemical Probes Portal
JPYQFPGTGGLOMD-UHFFFAOYSA-N	CHEMBL1649761	NC(=O)c1ccc2c(c1)nc(Nc1cccc(Cl)c1)c1ccncc12		1643156	unsuitables/chembl1649761	2016-12-09	No	No	0	0	0		Chemical Probes Portal
BQDHCGJUSXMIIS-UHFFFAOYSA-N	SCHEMBL3814469	COc1cc(Nc2ncc([N+](=O)[O-])c(Nc3ccccc3C(N)=O)n2)cc(OC)c1OC.Cl		3312912	unsuitables/schembl3814469	2016-12-09	No	No	0	0	0		Chemical Probes Portal
AFSDNFLWKVMVRB-UHFFFAOYSA-N	Ellagic acid	O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23		1305685	unsuitables/ellagic-acid	2016-12-09	Yes	Yes	0	0	0		Chemical Probes Portal
AYQYIBVVCJFCAE-KSEXSDGBSA-N	C646	CC1=NN(c2ccc(C(=O)O)cc2)C(=O)/C1=C\Cc1ccc(Cc2cc(C)c(C)cc2[N+](=O)[O-])o1	CHEMBL3421960	654302	unsuitables/c646	2016-12-13	Yes	No	0	0	0		Chemical Probes Portal
XHBVYDAKJHETMP-UHFFFAOYSA-N	Dorsomorphin	c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1		252407	unsuitables/dorsomorphin	2016-12-15	No	No	0	0	0		Chemical Probes Portal
SHPFDGWALWEPGS-UHFFFAOYSA-N	Ki-20227	COc1cc(Oc2ccnc3cc(OC)c(OC)cc23)ccc1NC(=O)NC(C)c1nccs1	CHEMBL1908396	592278	unsuitables/ki-20227	2017-03-02	No	No	0	0	0		Chemical Probes Portal
MLKHXLFEYOOYEY-NVNXTCNLSA-N	K00564a	Cn1cc(/C=C2\C(=O)Nc3ccc(S(N)(=O)=O)cc32)c2ccccc21		1588377	unsuitables/k00564a	2021-02-18	Yes	No	0	0	0		Chemical Probes Portal
FMETVQKSDIOGPX-UHFFFAOYSA-N	Lck inhibitor	Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1		1889063	unsuitables/lck-inhibitor	2017-03-02	No	No	0	0	0		Chemical Probes Portal
SXOZSDJHGMAEGZ-IGKKHSBFSA-N	SL0101	CC(=O)O[C@H]1[C@H](C)O[C@@H](Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)[C@H](O)[C@@H]1OC(C)=O	CHEMBL240954	716875	unsuitables/sl0101	2017-03-02	No	No	0	0	0		Chemical Probes Portal
BLQYVHBZHAISJM-CMDGGOBGSA-N	ENMD-2076	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(/C=C/c3ccccc3)n2)n[nH]1		1907784	unsuitables/enmd-2076	2017-02-01	No	No	0	0	0		Chemical Probes Portal
CXQHYVUVSFXTMY-UHFFFAOYSA-N	Foretinib	COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1	CHEMBL1230609	916365	unsuitables/foretinib	2017-02-01	No	No	0	0	0		Chemical Probes Portal
XZXHXSATPCNXJR-UHFFFAOYSA-N	Ninetedanib	COC(=O)c1ccc2c(c1)NC(=O)C2=C(Nc1ccc(N(C)C(=O)CN2CCN(C)CC2)cc1)c1ccccc1	CHEMBL2136735	826661	unsuitables/ninetedanib	2017-02-01	No	Yes	0	0	0		Chemical Probes Portal
IFPPYSWJNWHOLQ-UHFFFAOYSA-N	PD166285	CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1	CHEMBL49120	614800	unsuitables/pd166285	2017-02-01	No	No	0	0	0		Chemical Probes Portal
ZBNZXTGUTAYRHI-UHFFFAOYSA-N	Dasatinib	Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1	CHEMBL1421	501089	unsuitables/dasatinib	2017-02-01	No	No	0	0	0		Chemical Probes Portal
GCIKSSRWRFVXBI-UHFFFAOYSA-N	Tozasertib	Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1	CHEMBL572878	567748	unsuitables/tozasertib	2017-02-01	No	No	0	0	0		Chemical Probes Portal
JJWMRRNGWSITSQ-UHFFFAOYSA-N	UPF1069	O=C(COc1cccc2c(=O)[nH]ccc12)c1ccccc1		1302916	unsuitables/upf1069	2017-01-31	No	No	0	0	0		Chemical Probes Portal
HAYYBYPASCDWEQ-UHFFFAOYSA-N	Entrectinib	CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1	CHEMBL1983268	849266	unsuitables/entrectinib	2017-02-01	No	No	0	0	0		Chemical Probes Portal
GKEYKDOLBLYGRB-LGMDPLHJSA-N	Famitinib	CCN(CC)CCN1CCc2[nH]c(/C=C3\C(=O)Nc4ccc(F)cc43)c(C)c2C1=O		265157	unsuitables/famitinib	2017-02-01	No	No	0	0	0		Chemical Probes Portal
JLYAXFNOILIKPP-KXQOOQHDSA-N	Navitoclax	CC1(C)CCC(c2ccc(Cl)cc2)=C(CN2CCN(c3ccc(C(=O)NS(=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc5ccccc5)c(S(=O)(=O)C(F)(F)F)c4)cc3)CC2)C1	CHEMBL443684	997861	unsuitables/navitoclax	2017-01-31	No	Yes	0	0	0		Chemical Probes Portal
UQTPDWDAYHAZNT-AWEZNQCLSA-N	NS-018	C[C@H](Nc1cc(-c2cnn(C)c2)cc(Nc2cnccn2)n1)c1ccc(F)cc1		147527	unsuitables/ns-018	2017-02-01	No	No	0	0	0		Chemical Probes Portal
WVXNSAVVKYZVOE-UHFFFAOYSA-N	Rebastinib	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cc(C(C)(C)C)nn3-c3ccc4ncccc4c3)c(F)c2)ccn1	CHEMBL1738757	848780	unsuitables/rebastinib	2017-02-01	No	No	0	0	0		Chemical Probes Portal
