inchikey	organism	dose_value	dose_unit	route	dose_raw	source_db	source
CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	10	mg/kg	PO	1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	Chemical Probes Portal	GNE-781
CQCWHSDMJBAGDC-UHFFFAOYSA-N	Other	10	mg/kg		1 mg/Kg IV, 5 mg/Kg PO, 5-10-30 mg/Kg PO BID, Reviewer suggested: max 30 mg/Kg	Chemical Probes Portal	GNE-781
DSUZLJDXUJUTGI-LLVKDONJSA-N	Mouse	1	mg/kg	IV	1 mg/Kg (IV), 10 mg/Kg (PO)	Chemical Probes Portal	LSN-3213128
DSUZLJDXUJUTGI-LLVKDONJSA-N	Mouse	10	mg/kg	PO	1 mg/Kg (IV), 10 mg/Kg (PO)	Chemical Probes Portal	LSN-3213128
VWEDZTZAXHMZIL-UHFFFAOYSA-N	Mouse	0.1	mg/kg		0.1 to 10 mg/Kg	Chemical Probes Portal	25CN-NBOH
PKCDDUHJAFVJJB-VLZXCDOPSA-N	Other	5	mg/kg		5 mg/kg, 50-75 mg/Kg Oral (Reviewer Suggested)	Chemical Probes Portal	Linsitinib
PKCDDUHJAFVJJB-VLZXCDOPSA-N	Other	50	mg/kg	PO	5 mg/kg, 50-75 mg/Kg Oral (Reviewer Suggested)	Chemical Probes Portal	Linsitinib
JGQPZPLJOBHHBK-UFXYQILXSA-N	Mouse	10	mg/kg		10 mg/Kg, Reviewers suggest: 7.5 mg/Kg BID	Chemical Probes Portal	dBET6
JGQPZPLJOBHHBK-UFXYQILXSA-N	Mouse	7.5	mg/kg		10 mg/Kg, Reviewers suggest: 7.5 mg/Kg BID	Chemical Probes Portal	dBET6
XSMABFRQESMONQ-SFHVURJKSA-N	Mouse	50	mg/kg		5 , 10, 25, 50 mg/Kg	Chemical Probes Portal	QC6352
NGEBYTLALFOQKI-HDJSIYSDSA-N	Other	20	mg/kg		0.5 (M), 2 (R), 1 (D) mg/kg IV, 1 (M), 5 (R), 1 (D) mg/kg PO, Reviewer suggest: 20 mg/Kg (M), 0.5-5 mg/Kg (R)	Chemical Probes Portal	AZD3988
NGEBYTLALFOQKI-HDJSIYSDSA-N	Other	0.5	mg/kg		0.5 (M), 2 (R), 1 (D) mg/kg IV, 1 (M), 5 (R), 1 (D) mg/kg PO, Reviewer suggest: 20 mg/Kg (M), 0.5-5 mg/Kg (R)	Chemical Probes Portal	AZD3988
RENRQMCACQEWFC-UGKGYDQZSA-N	Other	1	mg/kg		1 to 30 mg/Kg (R), 0.1 to 10 mg/Kg (D), 1 (IV), 10 (PO) mg/Kg (m)	Chemical Probes Portal	LNP-023
RENRQMCACQEWFC-UGKGYDQZSA-N	Other	0.1	mg/kg	IV	1 to 30 mg/Kg (R), 0.1 to 10 mg/Kg (D), 1 (IV), 10 (PO) mg/Kg (m)	Chemical Probes Portal	LNP-023
