inchikey	portal_path	published_date	pains	toxicophore	cansar_id	rating_in_cell	rating_in_organism	rating_count	reference	source_db	source	xref_id
SEJGTFPOEJWEGG-UHFFFAOYSA-N	unsuitables/chembl1908393	2016-12-09	No	No	3100290	0	0	0		Chemical Probes Portal	CHEMBL1908393	https://www.chemicalprobes.org/
JOOXLOJCABQBSG-UHFFFAOYSA-N	unsuitables/fedratinib	2016-12-09	No	No	729057	0	0	0		Chemical Probes Portal	Fedratinib	https://www.chemicalprobes.org/
MVJMMLFMPWITEJ-UHFFFAOYSA-N	unsuitables/kinome1198	2016-12-09	No	Yes	212832	0	0	0		Chemical Probes Portal	Kinome_1198	https://www.chemicalprobes.org/
CTNPALGJUAXMMC-PMFHANACSA-N	unsuitables/su14813	2016-12-09	Yes	No	449255	0	0	0		Chemical Probes Portal	SU14813	https://www.chemicalprobes.org/
KDKUVYLMPJIGKA-UHFFFAOYSA-N	unsuitables/jnj-7706621	2016-12-09	No	No	1799601	0	0	0		Chemical Probes Portal	JNJ-7706621	https://www.chemicalprobes.org/
YYLKKYCXAOBSRM-JXMROGBWSA-N	unsuitables/kw-2449	2016-12-09	No	No	1708627	0	0	0		Chemical Probes Portal	KW-2449	https://www.chemicalprobes.org/
OWRXHGAFWZFFCW-UHFFFAOYSA-N	unsuitables/kinome1194	2016-12-09	No	No	455055	0	0	0		Chemical Probes Portal	Kinome_1194	https://www.chemicalprobes.org/
JZTOUVBEZONDKA-UHFFFAOYSA-N	unsuitables/kinome2079	2016-12-09	No	No	1720177	0	0	0		Chemical Probes Portal	Kinome_2079	https://www.chemicalprobes.org/
RYYNGWLOYLRZLK-UHFFFAOYSA-N	unsuitables/pf-03814735	2016-12-09	No	No	593029	0	0	0		Chemical Probes Portal	PF-03814735	https://www.chemicalprobes.org/
FUMCKNCUEAQHCV-XYPYZODXSA-N	unsuitables/chembl2062936	2016-12-09	No	No	1543298	0	0	0		Chemical Probes Portal	CHEMBL2062936	https://www.chemicalprobes.org/
ZGZVRPRSFXRGCF-UHFFFAOYSA-N	unsuitables/kinome1054	2016-12-09	No	No	593085	0	0	0		Chemical Probes Portal	Kinome_1054	https://www.chemicalprobes.org/
ZPEIMTDSQAKGNT-UHFFFAOYSA-N	unsuitables/chlorpromazine	2016-12-09	No	No	1233755	0	0	0		Chemical Probes Portal	Chlorpromazine	https://www.chemicalprobes.org/
CGIGDMFJXJATDK-UHFFFAOYSA-N	unsuitables/indometacin	2016-12-09	No	No	1616755	0	0	0		Chemical Probes Portal	Indometacin	https://www.chemicalprobes.org/
GCBJDOWIQHMCMR-UHFFFAOYSA-N	unsuitables/kinome1199	2016-12-09	No	No	1705658	0	0	0		Chemical Probes Portal	Kinome_1199	https://www.chemicalprobes.org/
