inchikey	verdict	pains	toxicophore	rating_in_cell	rating_in_organism	rating_count	published_date	source_db	source
RLUGRMMSGGKTPV-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2017-06-02	Chemical Probes Portal	
UOVSZRTTWLJPHE-HNXAPSNLSA-N	recommended	No	No	4	4	2	2017-06-06	Chemical Probes Portal	
NNGMKDJOKUWNGN-NMMPVGNLSA-N	unsuitable	No	Yes	0	0	0	2017-04-11	Chemical Probes Portal	
IYDMGGPKSVWQRT-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-06-02	Chemical Probes Portal	
BDUHCSBCVGXTJM-WUFINQPMSA-N	unsuitable	No	No	0	0	0	2017-06-02	Chemical Probes Portal	
QZJRNGXHRQJBJH-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-06-02	Chemical Probes Portal	
FLEPRYJBTOPZTM-UKILVPOCSA-N	unsuitable	No	No	0	0	0	2017-06-02	Chemical Probes Portal	
HMKAZNCSHAJLSA-HIJQLYNKSA-N	unsuitable	No	No	0	0	0	2017-06-06	Chemical Probes Portal	
CGCOPBXAGSCZNX-FNQJWKMRSA-N	recommended	No	Yes	3	3.5	2	2017-06-06	Chemical Probes Portal	
ARYVAQSYRLZVQD-UHFFFAOYSA-N	recommended	No	No	3	3.5	2	2017-06-14	Chemical Probes Portal	
XZFYSTPLSPZNKJ-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2017-06-22	Chemical Probes Portal	
ZFEXNHYQHDJAGL-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-06-22	Chemical Probes Portal	
CGLMQIIIQWNAMG-UHFFFAOYSA-N	unsuitable	No	Yes	0	0	0	2017-06-22	Chemical Probes Portal	
XKTMIJODWOEBKO-UHFFFAOYSA-M	unsuitable	Yes	Yes	0	0	0	2017-06-22	Chemical Probes Portal	
ASUGUQWIHMTFJL-QGZVFWFLSA-N	unsuitable	No	No	0	0	0	2017-06-26	Chemical Probes Portal	
ZHEHVZXPFVXKEY-LYGOBDSISA-N	unsuitable	No	No	0	0	0	2017-06-27	Chemical Probes Portal	
VLULRUCCHYVXOH-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-07-18	Chemical Probes Portal	
LTYNXERAWVCPAH-OHRKNAERSA-N	recommended	No	Yes	2.3333333333333335	0	3	2017-06-23	Chemical Probes Portal	
YRRAGUMVDQQZIY-UHFFFAOYSA-N	unsuitable	Yes	Yes	0	0	0	2017-06-22	Chemical Probes Portal	
VWFIHGWHMXSTAO-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-06-22	Chemical Probes Portal	
JPOAXWSMFOLMQH-UWWJMHSNSA-N	unsuitable	No	No	0	0	0	2017-06-22	Chemical Probes Portal	
QKJRDUVFCNBDGG-YKXMQWBGSA-N	unsuitable	No	Yes	0	0	0	2017-06-22	Chemical Probes Portal	
BGLPECHZZQDNCD-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2017-06-26	Chemical Probes Portal	
HWXVIOGONBBTBY-ONEGZZNKSA-N	unsuitable	No	No	0	0	0	2017-06-26	Chemical Probes Portal	
SAGZIBJAQGBRQA-UHFFFAOYSA-N	recommended	No	No	2.5	3	2	2021-02-05	Chemical Probes Portal	
PNMYJIOQIAEYQL-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-07-08	Chemical Probes Portal	
KTEIFNKAUNYNJU-LBPRGKRZSA-N	unsuitable	No	No	0	0	0	2017-07-08	Chemical Probes Portal	
AVZCPICCWKMZDT-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-07-08	Chemical Probes Portal	
KWUZCAVKPCRJPO-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-07-08	Chemical Probes Portal	
TZALECNALKOBPY-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2017-07-08	Chemical Probes Portal	
RYCBSFIKWACFBY-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-07-08	Chemical Probes Portal	
JVDOKQYTTYUYDV-UHFFFAOYSA-N	unsuitable	Yes	No	0	0	0	2017-07-08	Chemical Probes Portal	
HHFBDROWDBDFBR-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-07-08	Chemical Probes Portal	
ZIMMTPFXOMAJTQ-UHFFFAOYSA-N	unsuitable	No	No	0	0	0	2017-07-08	Chemical Probes Portal	
