inchikey	target_key	moa	bioactivity_type	relation	value	unit	assay_type	assay_description	cell_line	concentration	concentration_unit	source_db	source	source_xref	xref_id
OTTJIRVZJJGFTK-SFHVURJKSA-N	Q9NRG4	inhibitor	IC50		58	nM	cell	in-cell quantification of substrate methylation by FLAG-tagged SMYD2				Chemical Probes Portal	BAY-598	bay-598	https://www.chemicalprobes.org/
ZKXZLIFRWWKZRY-KRWDZBQOSA-N	O14744	inhibitor			5	nM	biochemical	Homogeneous time-resolved fluorescence (HTRF) assay under balanced conditions to monitor the monomethylation of H4R3 on a histone H4 peptide by PRMT5:MEP50				Chemical Probes Portal	DOI:10.1021/acsmedchemlett.5b00380	epz015666	https://www.chemicalprobes.org/
ZKXZLIFRWWKZRY-KRWDZBQOSA-N	O14744	inhibitor	IC50		9	nM	cell	In-cell western (ICW) assay following inhibition of symmetric dimethylation of arginine-containing substrates in Z-138 cells over 4 days.				Chemical Probes Portal	DOI:10.1021/acsmedchemlett.5b00380	epz015666	https://www.chemicalprobes.org/
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Q4FZB7	inhibitor			25	nM	binding	Scintillation proximity assay - Methyltransferase activity assays for SUV420H1 and SUV420H2 were performed by monitoring the incorporation of tritium-labeled methyl group to monomethylated lysine 20 of peptide H4(1-24) (H4K20Me1). The experiments were performed in triplicate.				Chemical Probes Portal	A-196	a-196	https://www.chemicalprobes.org/
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Q4FZB7	inhibitor	EC50		740	nM	cell	"In U2OS cells, EC50s were determined by western blot after treating the cells for 48 hours. Comparable results were obtained in LnCaP cells.
The cellular effects were also evaluated using high-content microscopy, which allowed the simultaneous assessment of two methyl marks.  In the assay (in U2OS cells), IC50 for H4K20me1=1.91 uM (activation), H4K20me3=0.502 uM (inhibition). Comparable data were obtained in PC3 cells. | 740 nM (activating H4K20me1)"				Chemical Probes Portal	A-196	a-196	https://www.chemicalprobes.org/
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Q4FZB7	inhibitor	EC50		262	nM	cell	"In U2OS cells, EC50s were determined by western blot after treating the cells for 48 hours. Comparable results were obtained in LnCaP cells.
The cellular effects were also evaluated using high-content microscopy, which allowed the simultaneous assessment of two methyl marks.  In the assay (in U2OS cells), IC50 for H4K20me1=1.91 uM (activation), H4K20me3=0.502 uM (inhibition). Comparable data were obtained in PC3 cells. | 262 nM (inhibiting H4K20me2)"				Chemical Probes Portal	A-196	a-196	https://www.chemicalprobes.org/
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Q4FZB7	inhibitor	EC50		370	nM	cell	"In U2OS cells, EC50s were determined by western blot after treating the cells for 48 hours. Comparable results were obtained in LnCaP cells.
The cellular effects were also evaluated using high-content microscopy, which allowed the simultaneous assessment of two methyl marks.  In the assay (in U2OS cells), IC50 for H4K20me1=1.91 uM (activation), H4K20me3=0.502 uM (inhibition). Comparable data were obtained in PC3 cells. | 370 nM (inhibiting H4K20me3)"				Chemical Probes Portal	A-196	a-196	https://www.chemicalprobes.org/
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Q86Y97	inhibitor			144	nM	binding	Scintillation proximity assay - Methyltransferase activity assays for SUV420H1 and SUV420H2 were performed by monitoring the incorporation of tritium-labeled methyl group to monomethylated lysine 20 of peptide H4(1-24) (H4K20Me1). The experiments were performed in triplicate.				Chemical Probes Portal	A-196	a-196	https://www.chemicalprobes.org/
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Q86Y97	inhibitor	EC50		740	nM	cell	"In U2OS cells, EC50s were determined by western blot after treating the cells for 48 hours. Comparable results were obtained in LnCaP cells.
The cellular effects were also evaluated using high-content microscopy, which allowed the simultaneous assessment of two methyl marks.  In the assay (in U2OS cells), IC50 for H4K20me1=1.91 uM (activation), H4K20me3=0.502 uM (inhibition). Comparable data were obtained in PC3 cells. | 740 nM (activating H4K20me1)"				Chemical Probes Portal	A-196	a-196	https://www.chemicalprobes.org/
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Q86Y97	inhibitor	EC50		262	nM	cell	"In U2OS cells, EC50s were determined by western blot after treating the cells for 48 hours. Comparable results were obtained in LnCaP cells.
The cellular effects were also evaluated using high-content microscopy, which allowed the simultaneous assessment of two methyl marks.  In the assay (in U2OS cells), IC50 for H4K20me1=1.91 uM (activation), H4K20me3=0.502 uM (inhibition). Comparable data were obtained in PC3 cells. | 262 nM (inhibiting H4K20me2)"				Chemical Probes Portal	A-196	a-196	https://www.chemicalprobes.org/
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Q86Y97	inhibitor	EC50		370	nM	cell	"In U2OS cells, EC50s were determined by western blot after treating the cells for 48 hours. Comparable results were obtained in LnCaP cells.
The cellular effects were also evaluated using high-content microscopy, which allowed the simultaneous assessment of two methyl marks.  In the assay (in U2OS cells), IC50 for H4K20me1=1.91 uM (activation), H4K20me3=0.502 uM (inhibition). Comparable data were obtained in PC3 cells. | 370 nM (inhibiting H4K20me3)"				Chemical Probes Portal	A-196	a-196	https://www.chemicalprobes.org/
PSOXOVKYGWBTPB-UHFFFAOYSA-N	P55055	antagonist, inverse agonist, mix agonist/antagonist in vivo			31.6	nM	biochemical	LXR LEADseeker binding assay				Chemical Probes Portal	GSK2033	gsk2033	https://www.chemicalprobes.org/
PSOXOVKYGWBTPB-UHFFFAOYSA-N	P55055	antagonist, inverse agonist, mix agonist/antagonist in vivo	IC50		17	nM	cell	Co-transfection using Luciferase reporter assay, basal gene expression suppression for ABCA1 and SREBP-1c genes | 17				Chemical Probes Portal	GSK2033	gsk2033	https://www.chemicalprobes.org/
PSOXOVKYGWBTPB-UHFFFAOYSA-N	P55055	antagonist, inverse agonist, mix agonist/antagonist in vivo	IC50		52	nM	cell	Co-transfection using Luciferase reporter assay, basal gene expression suppression for ABCA1 and SREBP-1c genes | 52 nM				Chemical Probes Portal	GSK2033	gsk2033	https://www.chemicalprobes.org/
PSOXOVKYGWBTPB-UHFFFAOYSA-N	Q13133	antagonist, inverse agonist, mix agonist/antagonist in vivo			31.6	nM	biochemical	LXR LEADseeker binding assay				Chemical Probes Portal	GSK2033	gsk2033	https://www.chemicalprobes.org/
PSOXOVKYGWBTPB-UHFFFAOYSA-N	Q13133	antagonist, inverse agonist, mix agonist/antagonist in vivo	IC50		9	nM	cell	Co-transfection using Luciferase reporter assay, basal gene expression suppression for ABCA1 and SREBP-1c genes | 9				Chemical Probes Portal	GSK2033	gsk2033	https://www.chemicalprobes.org/
PSOXOVKYGWBTPB-UHFFFAOYSA-N	Q13133	antagonist, inverse agonist, mix agonist/antagonist in vivo	IC50		10	nM	cell	Co-transfection using Luciferase reporter assay, basal gene expression suppression for ABCA1 and SREBP-1c genes | 10 nM				Chemical Probes Portal	GSK2033	gsk2033	https://www.chemicalprobes.org/
MPUQHZXIXSTTDU-QXGSTGNESA-N	Q8TBC4	inhibitor			4.7	nM	biochemical	Purified enzyme assay, monitoring the formation of E2-UBL thioester reaction products.				Chemical Probes Portal	Pevonedistat	pevonedistat	https://www.chemicalprobes.org/
MPUQHZXIXSTTDU-QXGSTGNESA-N	Q8TBC4	inhibitor	IC50	<	100	nM	cell	In HCT-116 cells, pevonedistat dose-dependently decreased Ubcl2-NEDD8 thioester formation and NEDD8-cullin conjugates; it increased CRL substrates (e.g., CDT1, p27, NRF2).				Chemical Probes Portal	Pevonedistat	pevonedistat	https://www.chemicalprobes.org/
DYIRSNMPIZZNBK-UHFFFAOYSA-N	O75530	inhibitor			82	nM	binding	Isothermal titration calorimetry (ITC)				Chemical Probes Portal	EED226	eed226	https://www.chemicalprobes.org/
DYIRSNMPIZZNBK-UHFFFAOYSA-N	O75530	inhibitor			23.4	nM	biochemical	In in vitro enzyme assays				Chemical Probes Portal	EED226	eed226	https://www.chemicalprobes.org/
DYIRSNMPIZZNBK-UHFFFAOYSA-N	O75530	inhibitor					cell	In G401 cells, EED226 dose-dependently decreased global H3K27me3 and H3K27me2 levels.				Chemical Probes Portal	EED226	eed226	https://www.chemicalprobes.org/
DRLCSJFKKILATL-YWCVFVGNSA-N	Q00987	inhibitor			0.045	nM	biochemical	Surface plasmon resonance assay				Chemical Probes Portal	AMG232	amg232	https://www.chemicalprobes.org/
DRLCSJFKKILATL-YWCVFVGNSA-N	Q00987	inhibitor			0.6	nM	biochemical	HTRF assay				Chemical Probes Portal	AMG232	amg232	https://www.chemicalprobes.org/
