target_key	level	ordinal	value	source_db	source
P08922	subclass	0	TK	Chemical Probes Portal	
P09619	class	0	Kinase	Chemical Probes Portal	
P09619	class	1	Protein kinase	Chemical Probes Portal	
P09619	subclass	0	TK	Chemical Probes Portal	
P09874	class	0	Other post-translational modification	Chemical Probes Portal	
P09874	subclass	0	PARP	Chemical Probes Portal	
P09936	class	0	Other	Chemical Probes Portal	
P09936	class	1	Enzyme	Chemical Probes Portal	
P09936	subclass	0	Peptidase C12 family	Chemical Probes Portal	
P09936	subclass	1	Peptidase	Chemical Probes Portal	
P09960	class	0	Other	Chemical Probes Portal	
P09960	subclass	0	Hydrolase	Chemical Probes Portal	
P10275	class	0	NHR	Chemical Probes Portal	
P10275	class	1	Transcription factor	Chemical Probes Portal	
P10275	subclass	0	Dihydrotestosterone receptor	Chemical Probes Portal	
P10275	subclass	1	Androgen receptor	Chemical Probes Portal	
P10275	subclass	2	Nuclear Hormone Receptor	Chemical Probes Portal	
P10415	class	0	Enzyme	Chemical Probes Portal	
P10415	class	1	Other	Chemical Probes Portal	
P10415	subclass	0	Apoptosis Regulator	Chemical Probes Portal	
P10415	subclass	1	Protein Phosphatase	Chemical Probes Portal	
P10636	class	0	Extracellular protein	Chemical Probes Portal	
P10636	subclass	0	Microtubule Associated Protein	Chemical Probes Portal	
P10721	class	0	Protein kinase	Chemical Probes Portal	
P10721	class	1	Kinase	Chemical Probes Portal	
P10721	subclass	0	TK	Chemical Probes Portal	
P10721	subclass	1	Tyr kinase	Chemical Probes Portal	
P11166	class	0	Transporter	Chemical Probes Portal	
P11166	subclass	0	Solute Carrier	Chemical Probes Portal	
P11229	class	0	GPCR	Chemical Probes Portal	
P11229	subclass	0	Acetylcholine Receptor	Chemical Probes Portal	
P11309	class	0	Kinase	Chemical Probes Portal	
P11309	subclass	0	CAMK	Chemical Probes Portal	
P11362	class	0	Kinase	Chemical Probes Portal	
P11362	subclass	0	TK	Chemical Probes Portal	
P11362	subclass	1	Tyrosine kinase	Chemical Probes Portal	
P11586	class	0	Enzyme	Chemical Probes Portal	
P11586	subclass	0	Dehydrogenase	Chemical Probes Portal	
P11597	class	0	Transporter	Chemical Probes Portal	
P11597	subclass	0	BPI/LBP family	Chemical Probes Portal	
P11802	class	0	Kinase	Chemical Probes Portal	
P11802	subclass	0	CMGC	Chemical Probes Portal	
P12931	class	0	Kinase	Chemical Probes Portal	
P12931	class	1	Protein kinase	Chemical Probes Portal	
P12931	subclass	0	TK	Chemical Probes Portal	
P13569	class	0	Structural protein	Chemical Probes Portal	
P13569	class	1	Ion Channel	Chemical Probes Portal	
P13569	subclass	0	ABCC	Chemical Probes Portal	
P13569	subclass	1	Conductance Regulator	Chemical Probes Portal	
P13995	class	0	Enzyme	Chemical Probes Portal	
P13995	subclass	0	Dehydrogenase	Chemical Probes Portal	
P14174	class	0	Other post-translational modification	Chemical Probes Portal	
P14174	subclass	0	Tautomerase	Chemical Probes Portal	
P14616	class	0	Kinase	Chemical Probes Portal	
P14616	subclass	0	TK	Chemical Probes Portal	
P14902	class	0	Enzyme	Chemical Probes Portal	
P14902	subclass	0	Dioxygenase	Chemical Probes Portal	
P15056	class	0	Kinase	Chemical Probes Portal	
P15056	subclass	0	TKL	Chemical Probes Portal	
P15170	class	0	Other	Chemical Probes Portal	
P15170	class	1	Transcription factor	Chemical Probes Portal	
P15170	class	2	Translation Termination Factor	Chemical Probes Portal	
P15170	subclass	0	Translation Termination Factor	Chemical Probes Portal	
P16234	class	0	Kinase	Chemical Probes Portal	
P16234	subclass	0	TK	Chemical Probes Portal	
P17706	class	0	Enzyme	Chemical Probes Portal	
P17706	subclass	0	Phosphatase	Chemical Probes Portal	
P17948	class	0	Kinase	Chemical Probes Portal	
P17948	subclass	0	Tyrosine kinase	Chemical Probes Portal	
P18031	class	0	Enzyme	Chemical Probes Portal	
P18031	subclass	0	Phosphatase	Chemical Probes Portal	
P18089	class	0	GPCR	Chemical Probes Portal	
P18089	subclass	0	Adrenergic receptor	Chemical Probes Portal	
P19099	class	0	Enzyme	Chemical Probes Portal	
P19099	subclass	0	B	Chemical Probes Portal	
