resource	xref	inchikey
canSAR	432336	QZJRNGXHRQJBJH-UHFFFAOYSA-N
canSAR	391134	FLEPRYJBTOPZTM-UKILVPOCSA-N
canSAR	777492	HMKAZNCSHAJLSA-HIJQLYNKSA-N
canSAR	872752	CGCOPBXAGSCZNX-FNQJWKMRSA-N
canSAR	121519	ARYVAQSYRLZVQD-UHFFFAOYSA-N
canSAR	3312902	XZFYSTPLSPZNKJ-UHFFFAOYSA-N
canSAR	3312905	ZFEXNHYQHDJAGL-UHFFFAOYSA-N
canSAR	3313081	CGLMQIIIQWNAMG-UHFFFAOYSA-N
canSAR	933654	XKTMIJODWOEBKO-UHFFFAOYSA-M
canSAR	113802	ASUGUQWIHMTFJL-QGZVFWFLSA-N
canSAR	3145847	ZHEHVZXPFVXKEY-LYGOBDSISA-N
canSAR	233041	VLULRUCCHYVXOH-UHFFFAOYSA-N
canSAR	2958985	LTYNXERAWVCPAH-OHRKNAERSA-N
canSAR	1401932	YRRAGUMVDQQZIY-UHFFFAOYSA-N
canSAR	1200722	VWFIHGWHMXSTAO-UHFFFAOYSA-N
canSAR	3312910	JPOAXWSMFOLMQH-UWWJMHSNSA-N
canSAR	3312907	QKJRDUVFCNBDGG-YKXMQWBGSA-N
canSAR	328588	BGLPECHZZQDNCD-UHFFFAOYSA-N
canSAR	646856	HWXVIOGONBBTBY-ONEGZZNKSA-N
canSAR	410745	SAGZIBJAQGBRQA-UHFFFAOYSA-N
canSAR	1157610	PNMYJIOQIAEYQL-UHFFFAOYSA-N
canSAR	255181	KTEIFNKAUNYNJU-LBPRGKRZSA-N
canSAR	207430	AVZCPICCWKMZDT-UHFFFAOYSA-N
canSAR	3312908	KWUZCAVKPCRJPO-UHFFFAOYSA-N
canSAR	3313069	TZALECNALKOBPY-UHFFFAOYSA-N
canSAR	744970	RYCBSFIKWACFBY-UHFFFAOYSA-N
canSAR	698084	JVDOKQYTTYUYDV-UHFFFAOYSA-N
canSAR	575044	HHFBDROWDBDFBR-UHFFFAOYSA-N
canSAR	908308	ZIMMTPFXOMAJTQ-UHFFFAOYSA-N
canSAR	8743	ZZUZYEMRHCMVTB-UHFFFAOYSA-N
canSAR	1244293	HAGVCKULCLQGRF-UHFFFAOYSA-N
canSAR	1118708	IMUKUMUNZJILCG-UHFFFAOYSA-N
canSAR	1433969	MMBSCBVEHMETSA-GDAWTGGTSA-N
canSAR	528188	LUYWAGVRXKSNLL-DEOSSOPVSA-N
canSAR	1221513	FDQXEDMRIBACLZ-UHFFFAOYSA-N
canSAR	1054590	GNFSYBNDPOBXLJ-PLNGDYQASA-N
canSAR	1550908	HWTVYWVFOWWESR-GFCCVEGCSA-N
canSAR	8926	HRYKZAKEAVZGJD-UHFFFAOYSA-N
canSAR	114471	VBHDTUSGPSUCNL-KRWDZBQOSA-N
canSAR	1550909	HWTVYWVFOWWESR-LBPRGKRZSA-N
canSAR	14467	NMZRTRAYSHQMPR-UHFFFAOYSA-N
canSAR	1065940	ZHXIMGYEMBZGOI-UHFFFAOYSA-N
canSAR	1107538	DTMHAFMUJHYVGK-UHFFFAOYSA-N
canSAR	1308630	KXSIHXHEHABEJX-UHFFFAOYSA-N
canSAR	89399	IJAPPYDYQCXOEF-UHFFFAOYSA-N
canSAR	1181168	ZLYVTQGSZRQZLA-UHFFFAOYSA-N
canSAR	1166997	NVVWVYYHTKCIAE-UHFFFAOYSA-N
canSAR	817363	GLBZSOQDAOLMGC-UHFFFAOYSA-N
canSAR	795308	AXRCEOKUDYDWLF-UHFFFAOYSA-N
canSAR	1109148	VHBFFQKBGNRLFZ-UHFFFAOYSA-N
canSAR	1305871	WHTVZRBIWZFKQO-UHFFFAOYSA-N
canSAR	1146534	PPOQMSJVMJCEAI-UHFFFAOYSA-N
canSAR	1054589	GNFSYBNDPOBXLJ-SNAWJCMRSA-N
canSAR	1570026	NZSKSXWSNJEOQY-UHFFFAOYSA-N
canSAR	1284750	INPZIMSQNZGLHQ-JTQLQIEISA-N
canSAR	1653084	YAXDRRKYLDEMKO-INIZCTEOSA-N
canSAR	56288	XFDUHJPVQKIXHO-UHFFFAOYSA-N
