inchikey	property	ordinal	value	source_db	source
GRTDDIZIUSADLD-CRAIPNDOSA-N	control_compound	0	cpd 10	Chemical Probes Portal	
PQUGCKBLVKJMNT-UHFFFAOYSA-N	control_compound	0	CELECOXIB	Chemical Probes Portal	
WWOOWAHTEXIWBO-QFRSUPTLSA-N	control_compound	0	CANSAR1684258	Chemical Probes Portal	
WULUGQONDYDNKY-UHFFFAOYSA-N	control_compound	0	BI-1374	Chemical Probes Portal	
PQOOIERVZAXHBP-UHFFFAOYSA-N	control_compound	0	UNC1079	Chemical Probes Portal	
COOGVHJHSCBOQT-MRVPVSSYSA-N	control_compound	0	JNJ-39668551	Chemical Probes Portal	
DLNFTRSEHUWEGO-HUUCEWRRSA-N	control_compound	0	CANSAR3550553	Chemical Probes Portal	
LIIWIMDSZVNYHY-UHFFFAOYSA-N	control_compound	0	CANSAR1573319	Chemical Probes Portal	
PDMXSCCBEBCTGX-UHFFFAOYSA-N	control_compound	0	CANSAR668256	Chemical Probes Portal	
QBIGUDRHHJTXKG-UUWRZZSWSA-N	control_compound	0	CANSAR3452631	Chemical Probes Portal	
JYTISQGEFSHUIR-UHFFFAOYSA-N	control_compound	0	CANSAR3550558	Chemical Probes Portal	
GRXCLNMCJWKTAT-UHFFFAOYSA-N	control_compound	0	CANSAR389394	Chemical Probes Portal	
VGRLXWFIXGZRMS-UHFFFAOYSA-N	control_compound	0	CANSAR3511558	Chemical Probes Portal	
PGKXDIMONUAMFR-AREMUKBSSA-N	control_compound	0	CANSAR3550576	Chemical Probes Portal	
PWKAYICUBVNJAZ-UHFFFAOYSA-N	control_compound	0	CANSAR3550548	Chemical Probes Portal	
MSTXJJGAXXJCBY-UHFFFAOYSA-N	control_compound	0	CANSAR260217	Chemical Probes Portal	
WOAOENGFAAUUGT-UHFFFAOYSA-N	control_compound	0	BI-9466	Chemical Probes Portal	
XUKUURHRXDUEBC-KAYWLYCHSA-N	control_compound	0	3S, 5S-Atorvastatin	Chemical Probes Portal	
YTINZZFBHWSAGL-NDEPHWFRSA-N	control_compound	0	CANSAR3333581	Chemical Probes Portal	
VNCIWNGCMAKKEO-UHFFFAOYSA-N	control_compound	0	CANSAR3579025	Chemical Probes Portal	
AVKAVKZKOFSSMY-DEOSSOPVSA-N	control_compound	0	CANSAR3139360	Chemical Probes Portal	
QGNDVASWIHEXCL-AWEZNQCLSA-N	control_compound	0	SGC‐iMLLT‐N	Chemical Probes Portal	
AQTNUGRRZDRZIA-UHFFFAOYSA-N	control_compound	0	SGC-BRDVIII-NC	Chemical Probes Portal	
RZFJBSIAXYEPBX-UHFFFAOYSA-N	control_compound	0	CANSAR1854626	Chemical Probes Portal	
IXWUILRSNIQHDM-QGZVFWFLSA-N	control_compound	0	PFI-6N	Chemical Probes Portal	
INAICWLVUAKEPB-QSTFCLMHSA-N	control_compound	0	PFI-oMet	Chemical Probes Portal	
AUOSKLDNVNGKRR-UHFFFAOYSA-N	control_compound	0	SGC-GAK-1N	Chemical Probes Portal	
AUOSKLDNVNGKRR-UHFFFAOYSA-N	control_compound	1	KA2	Chemical Probes Portal	
ZRTFTZCKJUNZIU-HNNXBMFYSA-N	control_compound	0	NSV-MLLT-C	Chemical Probes Portal	
CZKPAGLXQOQNEI-UHFFFAOYSA-N	control_compound	0	(rac)-2,3-dimethoxy-5-(1-methoxyhexyl)pyridin-4-ol (Compound 24)	Chemical Probes Portal	
JKJMWHULJIOKPJ-UHFFFAOYSA-N	control_compound	0	KT195	Chemical Probes Portal	
MLJVGAYSVYMPSB-MSUKGTQXSA-N	control_compound	0	CANSAR3883275	Chemical Probes Portal	
CDJPHTNUARAVMH-SECBINFHSA-N	control_compound	0	(S)-9s	Chemical Probes Portal	
OQFCHSFVWSLDAO-UHFFFAOYSA-N	control_compound	0	DCLK1-NEG	Chemical Probes Portal	
AJBBEYXFRYFVNM-UHFFFAOYSA-N	control_compound	0	CANSAR690755	Chemical Probes Portal	
FLNYLINBEZROPL-NSOVKSMOSA-N	control_compound	0	CANSAR335710	Chemical Probes Portal	
CMJJZRAAQMUAFH-INIZCTEOSA-N	control_compound	0	CANSAR3203052	Chemical Probes Portal	
MSIJJXOWLFOYIN-UHFFFAOYSA-N	control_compound	0	TP-422	Chemical Probes Portal	
FFLJVBPCONQSQW-UHFFFAOYSA-N	control_compound	0	MU1700NC	Chemical Probes Portal	
IESAJAZKMLPVIB-VXGBXAGGSA-N	control_compound	0	BAY-9897	Chemical Probes Portal	
PEMUGDMSUDYLHU-ZEQRLZLVSA-N	control_compound	0	Compound-21	Chemical Probes Portal	
NXQKSXLFSAEQCZ-SFHVURJKSA-N	control_compound	0	Compound-8	Chemical Probes Portal	
RIGHCDSORZCRDE-UHFFFAOYSA-N	control_compound	0	CANSAR3894094	Chemical Probes Portal	
RAXZSEGXMBWYQK-SNVBAGLBSA-N	control_compound	0	ERKi-NC	Chemical Probes Portal	
LUVOYGUFQRWXGQ-UHFFFAOYSA-N	control_compound	0	JNJ-78732576	Chemical Probes Portal	
MCLDWKVRXDHDEI-UHFFFAOYSA-N	control_compound	0	SGC-CAF268-1N	Chemical Probes Portal	
VSMTYSWGHKYXOF-UHFFFAOYSA-N	control_compound	0	CANSAR3453338	Chemical Probes Portal	
NWTCZTAQSRLSCP-UHFFFAOYSA-N	control_compound	0	QC-03-075	Chemical Probes Portal	
OAZAPIKYVGRNCO-UHFFFAOYSA-N	control_compound	0	CANSAR3897548	Chemical Probes Portal	
JKDGKIBAOAFRPJ-ZBINZKHDSA-N	control_compound	0	CANSAR1682746	Chemical Probes Portal	
DJVYXMINSBMUHH-QAQDUYKDSA-N	control_compound	0	CANSAR137197	Chemical Probes Portal	
COGUZYALRYMQTD-LJQANCHMSA-N	control_compound	0	CANSAR3329968	Chemical Probes Portal	
FWJRVGZWNDOOFH-OAHLLOKOSA-N	control_compound	0	CANSAR1421688	Chemical Probes Portal	
NIPTUMFVYBXSMZ-JOCHJYFZSA-N	control_compound	0	SGC6870N	Chemical Probes Portal	
WDBUEMWHXKHQNB-NNAUULPKSA-N	control_compound	0	DGY-09-192-Neg	Chemical Probes Portal	
LWXOPXNDPRPGMJ-UHFFFAOYSA-N	control_compound	0	N-(2-((5-chloro-7H-pyrrolo[2,3-d]pyrimidin-4-yl)amino)phenyl)propionamide	Chemical Probes Portal	
KOZGEDUWAQFVAV-UHFFFAOYSA-N	control_compound	0	UNC7145	Chemical Probes Portal	
VNSQFPFWUAZOTQ-UHFFFAOYSA-N	control_compound	0	Ctx-533	Chemical Probes Portal	
LXRBPWHQMGKMRT-GOSISDBHSA-N	control_compound	0	BAY-728	Chemical Probes Portal	
IVOACCSOISMVBL-UHFFFAOYSA-N	control_compound	0	JN8034	Chemical Probes Portal	
HEUVRFNVTLGKMZ-SANMLTNESA-N	control_compound	0	ABT-108	Chemical Probes Portal	
DNVXATUJJDPFDM-KRWDZBQOSA-N	control_compound	0	(-)-JQ1	Chemical Probes Portal	
NZYTZRHHBAJPKN-UHFFFAOYSA-N	control_compound	0	MRK-740-NC	Chemical Probes Portal	
BDYDINKSILYBOL-WMZHIEFXSA-N	control_compound	0	GSK106	Chemical Probes Portal	
DUCNNEYLFOQFSW-PMERELPUSA-N	control_compound	0	GSK990	Chemical Probes Portal	
RPBMXJHQYJLPDN-UHFFFAOYSA-N	control_compound	0	TP-472N	Chemical Probes Portal	
RMCSKUADBRROSI-UHFFFAOYSA-N	control_compound	0	CANSAR149525	Chemical Probes Portal	
RIWTUJFFSTVYPW-UHFFFAOYSA-N	control_compound	0	M4K2234-NC	Chemical Probes Portal	
HKASDKLLEVWKJA-YADARESESA-N	control_compound	0	CANSAR577267	Chemical Probes Portal	
LZNFQRSVDZCPTR-SCFUHWHPSA-N	control_compound	0	N/A	Chemical Probes Portal	
