target_key	source_db	property	ordinal	value
O75907	Chemical Probes Portal	subClass	0	Diacylglycerol O-acyltransferase
O75907	Chemical Probes Portal	subClass	1	Acyltransferase
O75914	Chemical Probes Portal	class	0	Protein kinase
O75914	Chemical Probes Portal	subClass	0	STE
O76039	Chemical Probes Portal	class	0	Kinase
O76039	Chemical Probes Portal	subClass	0	CMGC
O76083	Chemical Probes Portal	class	0	Nucleic acid metabolism
O76083	Chemical Probes Portal	subClass	0	Phosphodiesterase
O94768	Chemical Probes Portal	class	0	Kinase
O94768	Chemical Probes Portal	subClass	0	CAMK
O94782	Chemical Probes Portal	class	0	Other post-translational modification
O94782	Chemical Probes Portal	subClass	0	Deubiquitinase
O94921	Chemical Probes Portal	class	0	Kinase
O94921	Chemical Probes Portal	subClass	0	CMGC
O94925	Chemical Probes Portal	class	0	Enzyme
O94925	Chemical Probes Portal	subClass	0	Glutaminase
O94953	Chemical Probes Portal	class	0	Epigenetic
O94953	Chemical Probes Portal	subClass	0	Histone demethylase
O95069	Chemical Probes Portal	class	0	Ion Channel
O95069	Chemical Probes Portal	subClass	0	Potassium Channel
O95251	Chemical Probes Portal	class	0	Epigenetic
O95251	Chemical Probes Portal	subClass	0	Histone Acetyltransferase
O95271	Chemical Probes Portal	class	0	Other post-translational modification
O95271	Chemical Probes Portal	subClass	0	PARP
O95497	Chemical Probes Portal	class	0	Vanin
O95497	Chemical Probes Portal	subClass	0	Biotinidase
O95696	Chemical Probes Portal	class	0	Epigenetic
O95696	Chemical Probes Portal	subClass	0	Bromodomain
O95785	Chemical Probes Portal	class	0	Transcription factor
O95785	Chemical Probes Portal	subClass	0	Zinc Finger
O95835	Chemical Probes Portal	class	0	Kinase
O95835	Chemical Probes Portal	subClass	0	AGC
O95848	Chemical Probes Portal	class	0	Epigenetic
O95848	Chemical Probes Portal	subClass	0	Nudix
O95931	Chemical Probes Portal	class	0	Epigenetic
O95931	Chemical Probes Portal	subClass	0	Methyl-lysine reader
O96013	Chemical Probes Portal	class	0	Protein kinase
O96013	Chemical Probes Portal	class	1	Kinase
O96013	Chemical Probes Portal	subClass	0	STE
O96017	Chemical Probes Portal	class	0	Protein kinase
O96017	Chemical Probes Portal	subClass	0	CAMK
O96028	Chemical Probes Portal	class	0	Epigenetic
O96028	Chemical Probes Portal	subClass	0	Methyltransferase
P00338	Chemical Probes Portal	class	0	Enzyme
P00338	Chemical Probes Portal	subClass	0	LDH family
P00352	Chemical Probes Portal	class	0	Other
P00352	Chemical Probes Portal	subClass	0	aldehyde dehydrogenase
P00519	Chemical Probes Portal	class	0	Kinase
P00519	Chemical Probes Portal	subClass	0	TK
P00533	Chemical Probes Portal	class	0	Kinase
P00533	Chemical Probes Portal	class	1	Protein kinase
P00533	Chemical Probes Portal	subClass	0	RTK
P00533	Chemical Probes Portal	subClass	1	TK
P00751	Chemical Probes Portal	class	0	Other
P00751	Chemical Probes Portal	subClass	0	Serine Protease
P00797	Chemical Probes Portal	class	0	Enzyme
P00797	Chemical Probes Portal	subClass	0	Angiotensinogenase
P00918	Chemical Probes Portal	class	0	Enzyme
P00918	Chemical Probes Portal	subClass	0	Anhydrase family
P01111	Chemical Probes Portal	class	0	Enzyme
P01111	Chemical Probes Portal	subClass	0	GTPase
P01112	Chemical Probes Portal	class	0	Enzyme
P01112	Chemical Probes Portal	subClass	0	GTPase
P01116	Chemical Probes Portal	class	0	Enzyme
P01116	Chemical Probes Portal	class	1	Kinase
P01116	Chemical Probes Portal	subClass	0	GTPase
P01116	Chemical Probes Portal	subClass	1	Ras Family
P01137	Chemical Probes Portal	class	0	Catalytic receptor
P01137	Chemical Probes Portal	subClass	0	Transforming Growth Factor
