inchikey	source_db	property	ordinal	value
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chemical Probes Portal	published_date	0	2017-02-03
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chemical Probes Portal	canSAR_ID	0	915616
PZPPOCZWRGNKIR-PNVYSBBASA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/chaetocin
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2020-12-05
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	2922952
ZWNKKZSRANLVEW-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/epiblastin
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-12-09
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	848749
UXXQOJXBIDBUAC-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/tandutinib
REFJWTPEDVJJIY-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
REFJWTPEDVJJIY-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
REFJWTPEDVJJIY-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
REFJWTPEDVJJIY-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
REFJWTPEDVJJIY-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	Yes
REFJWTPEDVJJIY-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	Yes
REFJWTPEDVJJIY-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-12-09
REFJWTPEDVJJIY-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	1305802
REFJWTPEDVJJIY-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/quercetin
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Chemical Probes Portal	rating_in_cell	0	0
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Chemical Probes Portal	rating_in_organism	0	0
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Chemical Probes Portal	rating_count	0	0
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Chemical Probes Portal	unsuitable	0	Yes
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Chemical Probes Portal	pains	0	No
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Chemical Probes Portal	toxicophore	0	No
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Chemical Probes Portal	published_date	0	2016-12-09
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Chemical Probes Portal	canSAR_ID	0	256723
PIMQWRZWLQKKBJ-SFHVURJKSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/dinaciclib
WMBWREPUVVBILR-WIYYLYMNSA-N	Chemical Probes Portal	rating_in_cell	0	0
WMBWREPUVVBILR-WIYYLYMNSA-N	Chemical Probes Portal	rating_in_organism	0	0
WMBWREPUVVBILR-WIYYLYMNSA-N	Chemical Probes Portal	rating_count	0	0
WMBWREPUVVBILR-WIYYLYMNSA-N	Chemical Probes Portal	unsuitable	0	Yes
WMBWREPUVVBILR-WIYYLYMNSA-N	Chemical Probes Portal	pains	0	Yes
WMBWREPUVVBILR-WIYYLYMNSA-N	Chemical Probes Portal	toxicophore	0	Yes
WMBWREPUVVBILR-WIYYLYMNSA-N	Chemical Probes Portal	published_date	0	2016-12-09
WMBWREPUVVBILR-WIYYLYMNSA-N	Chemical Probes Portal	canSAR_ID	0	498738
WMBWREPUVVBILR-WIYYLYMNSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/epigallocatechin-3-gallate-ecgc
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Chemical Probes Portal	rating_in_cell	0	0
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Chemical Probes Portal	rating_in_organism	0	0
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Chemical Probes Portal	rating_count	0	0
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Chemical Probes Portal	unsuitable	0	Yes
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Chemical Probes Portal	pains	0	No
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Chemical Probes Portal	toxicophore	0	No
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Chemical Probes Portal	published_date	0	2016-12-09
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Chemical Probes Portal	canSAR_ID	0	96102
LUKBXSAWLPMMSZ-OWOJBTEDSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/resveratrol
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-12-09
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	1009853
FIAFUQMPZJWCLV-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/suramin
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_cell	0	0
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Chemical Probes Portal	rating_in_organism	0	0
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Chemical Probes Portal	rating_count	0	0
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Chemical Probes Portal	unsuitable	0	Yes
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Chemical Probes Portal	pains	0	No
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Chemical Probes Portal	toxicophore	0	No
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Chemical Probes Portal	published_date	0	2016-12-09
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Chemical Probes Portal	canSAR_ID	0	1899498
ZEWQUBUPAILYHI-UHFFFAOYSA-N	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/trifluoperazine
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Chemical Probes Portal	rating_in_cell	0	0
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Chemical Probes Portal	rating_in_organism	0	0
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Chemical Probes Portal	rating_count	0	0
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Chemical Probes Portal	unsuitable	0	Yes
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Chemical Probes Portal	pains	0	No
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Chemical Probes Portal	toxicophore	0	No
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Chemical Probes Portal	published_date	0	2016-12-09
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Chemical Probes Portal	canSAR_ID	0	3312909
RRKRXIFOHFBLHY-YEZSYGFXSA-M	Chemical Probes Portal	url	0	https://www.chemicalprobes.org/unsuitables/fluoxetine-glucuronide
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Chemical Probes Portal	rating_in_cell	0	0
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Chemical Probes Portal	rating_in_organism	0	0
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Chemical Probes Portal	rating_count	0	0
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Chemical Probes Portal	unsuitable	0	Yes
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Chemical Probes Portal	pains	0	Yes
AOJJSUZBOXZQNB-TZSSRYMLSA-N	Chemical Probes Portal	toxicophore	0	Yes
