inchikey	smiles	chembl_id	name
AKNNEGZIBPJZJG-UHFFFAOYSA-N	COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C	CHEMBL1385015	
ALBKMJDFBZVHAK-UHFFFAOYSA-N	CCOC(=O)c1ncc2[nH]c3ccc(OCc4ccccc4)cc3c2c1COC	CHEMBL1518572	
ALDJQYJOXDCKFF-BHDDXSALSA-N	CCOC[C@@H](CC(C)C)NC(=O)[C@@H]1CNC[C@H](C(=O)N(c2cc(OCC)c(CC)cn2)C2CC2)C1	CHEMBL3318944	
ALFGDCNSEBJYSP-UHFFFAOYSA-N	CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12	CHEMBL1255834	
ALGFQPMFHIDLFQ-UHFFFAOYSA-N	Cc1ccc2oc(-c3cc(Br)ccc3O)cc(=O)c2c1	CHEMBL335086	
ALHBJBCQLJZYON-ZQDZILKHSA-N	N[C@H]1CC[C@H](N[C@@H]2C[C@H]2c2ccccc2)CC1	CHEMBL3781751	
ALMACYDZFBMGOR-UHFFFAOYSA-N	COc1ccccc1Oc1ccc(N(Cc2cccnc2)S(=O)(=O)CC(F)(F)F)cc1	CHEMBL108939	
ALMRJTRVZAXYSA-UHFFFAOYSA-N	Cc1ccc(-c2ccnc(-c3ccnc4[nH]ccc34)n2)c(C)n1		
ALOBUEHUHMBRLE-UHFFFAOYSA-N	CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1	CHEMBL2355456	
ALRYLNXZUBATMZ-UHFFFAOYSA-N	C=C(c1ccc(C(=O)O)cn1)c1cc2c(cc1C)C(C)(C)CCC2(C)C	CHEMBL109117	
ALSKYCOJJPXPFS-BBRMVZONSA-N	CO[C@H]1CC=C2CCN3CCC4=C(CC(=O)OC4)[C@]23C1	CHEMBL1319741	
ALUTUZZBMARJAC-GWNOIRNCSA-N	COc1cc(OC)c2c(c1)O[C@@]1(c3ccc(Br)cc3)[C@H](c3ccccc3)[C@@H](C(=O)N(C)OC)[C@@H](O)[C@@]21O		
ALWKGYPQUAPLQC-UHFFFAOYSA-N	CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	CHEMBL211471	
AMAJXAHZCGMNST-UHFFFAOYSA-N	CC1=C2CC3(C)C(=CC(O)C(O)C3C)C=C2OC1=O		
AMAKXBAXHDIALG-IBVKSMDESA-N	O=C(N[C@@H]1CCC(F)(F)C1)N[C@@](Cc1ccccc1)(c1cc(F)cc(OC(F)(F)C(F)F)c1)c1ccc(Cl)cn1	CHEMBL2152167	
AMLKCBXPVBOXAU-UHFFFAOYSA-N	C#CCOc1ccc2c(c1)c(-c1ccc(C(C)C)cc1)nc(=O)n2Cc1cccc(OCCO)c1	CHEMBL597396	
AMLYAMJWYAIXIA-VWNVYAMZSA-N	CC(C)[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](Cc2ccccc2)C(=O)N1C	CHEMBL429876	
ANDGGVOPIJEHOF-UHFFFAOYSA-N	O=C(c1ccc2nccnc2c1)N1CCCCC1	CHEMBL136800	
ANDUCBBZAFOUAO-LBPRGKRZSA-N	O=C(CCN1c2ccccc2Sc2ccccc21)N[C@@H](CS)C(=O)O	CHEMBL3623716	
