target_key	type	name
HSD17B8	protein	HSD17B8
HSD3B1	protein	HSD3B1
HSD3B2	protein	HSD3B2
HSD3B7	protein	HSD3B7
HSP90AA1	protein	HSP90AA1
HSP90AB1	protein	HSP90AB1
HSP90B1	protein	HSP90B1
HSPA1A	protein	HSPA1A
HSPA2	protein	HSPA2
HSPA4	protein	HSPA4
HSPA8	protein	HSPA8
HSPB1	protein	HSPB1
HTR1A	protein	HTR1A
HTR1B	protein	HTR1B
HTR1D	protein	HTR1D
HTR1E	protein	HTR1E
HTR1F	protein	HTR1F
HTR2A	protein	HTR2A
HTR2B	protein	HTR2B
HTR2C	protein	HTR2C
HTR3A	protein	HTR3A
HTR3B	protein	HTR3B
HTR3C	protein	HTR3C
HTR3D	protein	HTR3D
HTR3E	protein	HTR3E
HTR4	protein	HTR4
HTR5A	protein	HTR5A
HTR6	protein	HTR6
HTR7	protein	HTR7
HTRA1	protein	HTRA1
HTRA2	protein	HTRA2
IARS1	protein	IARS1
ICAM1	protein	ICAM1
ICMT	protein	ICMT
IDE	protein	IDE
IDH1	protein	IDH1
IDH2	protein	IDH2
IDO1	protein	IDO1
IGF1R	protein	IGF1R
IGFBP4	protein	IGFBP4
IGHE	protein	IGHE
IHH	protein	IHH
IKBKB	protein	IKBKB
IKBKE	protein	IKBKE
IKBKG	protein	IKBKG
IL10	protein	IL10
IL1B	protein	IL1B
IL2	protein	IL2
IL4	protein	IL4
IL5	protein	IL5
IL5RA	protein	IL5RA
IL6	protein	IL6
ILK	protein	ILK
IMPA1	protein	IMPA1
IMPDH1	protein	IMPDH1
IMPDH2	protein	IMPDH2
INPPL1	protein	INPPL1
INSR	protein	INSR
IRAK1	protein	IRAK1
IRAK2	protein	IRAK2
IRAK4	protein	IRAK4
ITGA2B	protein	ITGA2B
ITGA3	protein	ITGA3
ITGA4	protein	ITGA4
ITGA5	protein	ITGA5
ITGA6	protein	ITGA6
ITGAL	protein	ITGAL
ITGAV	protein	ITGAV
ITGB1	protein	ITGB1
ITGB2	protein	ITGB2
ITGB3	protein	ITGB3
ITGB5	protein	ITGB5
ITGB6	protein	ITGB6
ITK	protein	ITK
ITPKB	protein	ITPKB
ITPR1	protein	ITPR1
ITPR2	protein	ITPR2
ITPR3	protein	ITPR3
JAK1	protein	JAK1
JAK2	protein	JAK2
JAK3	protein	JAK3
JUN	protein	JUN
KAT2A	protein	KAT2A
KAT2B	protein	KAT2B
KAT5	protein	KAT5
KAT6A	protein	KAT6A
KAT6B	protein	KAT6B
KCNA1	protein	KCNA1
KCNA2	protein	KCNA2
KCNA3	protein	KCNA3
KCNA4	protein	KCNA4
KCNA5	protein	KCNA5
KCNA6	protein	KCNA6
KCNA7	protein	KCNA7
KCNAB2	protein	KCNAB2
KCNC1	protein	KCNC1
KCNC2	protein	KCNC2
KCNC3	protein	KCNC3
KCND2	protein	KCND2
KCND3	protein	KCND3
KCNE1	protein	KCNE1
KCNE2	protein	KCNE2
KCNE3	protein	KCNE3
KCNE4	protein	KCNE4
