inchikey	smiles	chembl_id	name
JIFCFQDXHMUPGP-UHFFFAOYSA-N	Cc1c(NC(=O)c2ccc(C(C)(C)C)cc2)cccc1-c1cn(C)c(=O)c(Nc2ccc(C(=O)N3CCOCC3)cc2)n1		CGI1746
WULUGQONDYDNKY-UHFFFAOYSA-N	CN(C)C(=O)Cn1cc(-c2ccc(-c3cncc4ccccc34)cc2)cn1		BI-1347
ODRITQGYYWHQGM-INIZCTEOSA-N	CN(C)C(=O)Cn1cc(-c2ccc(-c3nnc4ccccn34)cc2)cn1		BI-1374
OINGHOPGNMYCAB-INIZCTEOSA-N	CC(C)NC(=O)N1CC[C@H](NC2=Nc3cc(F)ccc3N(CC(F)F)c3ccc(Cl)cc32)C1		NVS-PAK1-1
UCBIQZUJJSVQHL-UHFFFAOYSA-N	CCN(CC)S(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1		SGC-AAK1-1
RAIAORGFMNXPOV-UHFFFAOYSA-N	CC(C)C(=O)Nc1n[nH]c2cc(-c3cccc(NS(=O)(=O)C4CC4)c3)ccc12		SGC-AAK1-1N
TXIYVFVMXNFNRX-UHFFFAOYSA-N	Cc1cccc(-c2cnc3occ(-c4ccc(C(=O)O)c(C5CCCC5)c4)c3c2)c1		SGC-CAMKK2-1 (UNC-YL-36)
KHPDNSBTNDXSBL-UHFFFAOYSA-N	O=C(O)c1ccc(-c2coc3ncc(-c4ccccc4)cc23)cc1Cl		SGC-CAMKK2-1N (UNC-YL-83)
XQVVPGYIWAGRNI-JOCHJYFZSA-N	CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1		BI-2536
YRDHKIFCGOZTGD-UHFFFAOYSA-N	CN1C(=O)c2sccc2N(C)c2nc(Nc3ccc(S(N)(=O)=O)cc3)ncc21		XMU-MP-1
NAVMQTYZDKMPEU-UHFFFAOYSA-N	C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C		Bexarotene
VLQTUNDJHLEFEQ-KGENOOAVSA-N	CN(C)C1=CC=C(C=C1)C2=CC=C(C=C2)CN(C3=CC=CC(=C3)/C=C/C(=O)OC)C(=O)C4CCCCC4		Fexaramine
PSOXOVKYGWBTPB-UHFFFAOYSA-N	CC1=CC(=C(C(=C1)C)S(=O)(=O)N(CC2=CC=C(C=C2)C3=CC(=CC=C3)S(=O)(=O)C)CC4=CC=C(O4)C(F)(F)F)C		GSK2033
BYTNEISLBIENSA-MDZDMXLPSA-N	CC(C)C1=C(C(=NO1)C2=C(C=CC=C2Cl)Cl)COC3=CC(=C(C=C3)/C=C/C4=CC(=CC=C4)C(=O)O)Cl		GW4064
PKNYXWMTHFMHKD-UHFFFAOYSA-N	CC(C)(C(=O)O)SC1=CC=C(C=C1)CCN(CCCCC2CCCCC2)C(=O)NC3CCCCC3		GW7647
HBBVCKCCQCQCTJ-UHFFFAOYSA-N	CCCC1=C(C=CC(=C1O)C(=O)C)OCCCOC2=CC=C(C=C2)OCC(=O)O		L-165,041
YASAKCUCGLMORW-UHFFFAOYSA-N	CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1		Rosiglitazone
OFWWWKWUCDUISA-UHFFFAOYSA-N	Cc1cc2c(cc1N1C(=O)c3cccc4c(CCCO)ccc(c34)C1=O)n(C)c(=O)n2C		BAY-299
RRZVGDGTWNQAPW-UHFFFAOYSA-N	Cn1cc(CCn2cnc(-c3cnn(C)c3)c2-c2ccc(C#N)cc2)cn1		BAZ2-ICR
ABGOSOMRWSYAOB-UHFFFAOYSA-N	Clc1cc2c(NC3CCCC3)nnc(-c3ccncc3)c2cc1Cl		A-196
RNAMYOYQYRYFQY-UHFFFAOYSA-N	COc1cc2c(NC3CCN(C(C)C)CC3)nc(N3CCC(F)(F)CC3)nc2cc1OCCCN1CCCC1		UNC0642
YKNAKDFZAWQEEO-IBGZPJMESA-N	CCC(=O)N1CCOc2c(cc(-c3ccc(OC)c(OC)c3)cc2OC[C@H]2CCCN(C)C2)C1		I-CBP112
ZADKZNVAJGEFLC-ZMBIFBSDSA-N	Cl.O=C([C@@H](Cc1cccc(C(F)(F)F)c1)NS(=O)(=O)c1cc(F)c2c(c1)CCNC2)N1CCCC1		PFI-2
DMIDPTCQPIJYFE-UHFFFAOYSA-N	O=C(NCC(=O)N1CCCC1)Nc1ccc2cnccc2c1		SGC707
TWKYXZSXXXKKJU-FQEVSTJZSA-N	O=C(NC[C@H](O)CN1CCc2ccccc2C1)c1ccnc(NC2CCC2)c1		GSK591
INAICWLVUAKEPB-QSTFCLMHSA-N	O=C(/C=C/N1C[C@H]2C[C@@H]1CN2c1ccccn1)c1ccccc1O		PFI-3
DNVXATUJJDPFDM-QGZVFWFLSA-N	Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2		(-)-JQ1
XVECNLUKQDKOST-UHFFFAOYSA-N	CCCS(=O)(=O)c1nc(NC2CC2)cc(-c2ccc3c(ccn3C3CC(C)(C)NC(C)(C)C3)c2)n1		NVS-CECR2-1
UEMQPCYDWCSVCU-UHFFFAOYSA-N	COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C		NI-57
AUOSKLDNVNGKRR-UHFFFAOYSA-N	COc1cc(Nc2ccnc3ccc(Br)cc23)cc(OC)c1OC		SGC-GAK-1
GEPYBHCJBORHCE-SFHVURJKSA-N	COc1ccc(CCc2nc3cc(-c4c(C)noc4C)ccc3n2C[C@H](C)N2CCOCC2)cc1Cl		SGC-CBP30
DPJNKUOXBZSZAI-UHFFFAOYSA-N	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccc(N3CCN(C(C)C)CC3)nc2)cc2c1cnn2C(C)C		UNC1999
DJOVLOYCGXNVPI-UHFFFAOYSA-N	CN1CCN(c2ccc(-c3cccc(CN4CCOCC4)c3)cc2NC(=O)c2c[nH]c(=O)cc2C(F)(F)F)CC1		OICR-9429
BKCDJTRMYWSXMC-UHFFFAOYSA-N	COc1cc2c(cc1OCCCN1CCCC1)N=C(N)C21CCC1		A-366
PJFZOGMSPBHPNS-WICJZZOFSA-N	Cl.Cl.c1ccc([C@@H]2C[C@H]2NC2CCNCC2)cc1		GSK-LSD1
PQOOIERVZAXHBP-UHFFFAOYSA-N	O=C(c1ccc(C(=O)N2CCC(N3CCCC3)CC2)c(Nc2ccccc2)c1)N1CCC(N2CCCC2)CC1		UNC1215
ULNXAWLQFZMIHX-UHFFFAOYSA-N	CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(-c2ccnc(N3CCN(C)CC3)c2)cc2c1cnn2C(C)C		GSK343
IQCKJUKAQJINMK-HUBRGWSESA-N	CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@@H]1O		SGC0946
WBKCKEHGXNWYMO-UHFFFAOYSA-N	CCOC(=O)CCNc1cc(N2CCc3ccccc3CC2)nc(-c2ccccn2)n1		GSK-J4
MSFPLTWUFWOKBX-IFXJQAMLSA-N	Cc1nnc2c3ccccc3c(N[C@@H](C)[C@H](c3ccccc3)N(C)C)nn12		L-Moses
REVJNSVNICWODC-KIDMSAQOSA-N	CN(C)[C@H]1CN(C2CCc3cccc(F)c32)C[C@@H]1c1ccc(N2CCN(S(C)(=O)=O)CC2)cc1		A-395
OTTJIRVZJJGFTK-SFHVURJKSA-N	CCN(C(CO)=O)[C@H]1CN(C(Nc2cccc(c2)OC(F)F)=NC#N)N=C1c1ccc(c(c1)[Cl])[Cl]		BAY-598
CKFRXCBNKKOFGO-IGEOTXOUSA-N	C[C@H]1CC(=O)Nc2cc(C(=O)NCCC3CC3)ccc2N1C(=O)N1CC2CC2C1		BAY-6035
KHWCPNJRJCNVRI-UHFFFAOYSA-N	CCCOc1ccn2c(C(C)=O)cc(-c3ccccc3S(C)(=O)=O)c2c1		GSK2801
QCIJLRJBZDBVDB-UHFFFAOYSA-N	COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C		GSK6853
DUCNNEYLFOQFSW-PMERELPUSA-N	COc1c(C)cc(NC(=O)c2nn(Cc3ccc(F)cc3)c3c2CN(C(=O)c2ccc[nH]2)C[C@]3(C)C(N)=O)cc1C		GSK864
WWOOWAHTEXIWBO-QFRSUPTLSA-N	Nc1ncnc2c1ccn2[C@@H]1O[C@H]([C@H](O)c2ccccc2)[C@@H](O)[C@H]1O		LLY-283
LVDRREOUMKACNJ-BKMJKUGQSA-N	Cc1cc(=O)n(C)c2cc(N3C(=O)CC[C@H](NS(=O)(=O)CC(C)C)[C@H]3c3ccc(Cl)cc3)ccc12		LP99
PVTQCCFMFWASHK-UHFFFAOYSA-N	COc1cc(N(C)c2ccnc3ccc(C(F)(F)F)cc23)cc(OC)c1OC		SGC-GAK-1N
VUIITYLFSAXKIQ-UHFFFAOYSA-N	CNCCN1CCC(c2cc(CN(C)C(=O)c3cccc(Oc4ccccc4)c3)ccn2)CC1		TP-064
RPBMXJHQYJLPDN-UHFFFAOYSA-N	CC(=O)c1cc(-c2cc(C(=O)NC3CC3)ccc2C)c2ncccn12		TP-472
VNCIWNGCMAKKEO-UHFFFAOYSA-N	CCCCN(Cc1ccccc1)C(=O)c1ccc(S(=O)(=O)Nc2ccccc2)cc1		TH-257
NZYTZRHHBAJPKN-UHFFFAOYSA-N	COc1cc(OC)cc(-c2noc(N3CCN(C)C4(CCN(c5ccnc(C)c5)CC4)C3)n2)c1		MRK-740
